status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
22707976849_10153630078111850,"Get an in-depth look at the Red Bull X-Fighters event with Levi Sherwood, as he shares how #Intel tech is changing action sports!",,video,https://www.facebook.com/Intel/videos/10153630078111850/,2016-07-13 19:24:40,159,4,24,157,2,0,0,0,0
22707976849_10153629109856850,Music festivals aren't just about the music. Rolling Stone shows how music events draw people together to change the world: http://intel.ly/29vKeKV,Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153629109856850/?type=3,2016-07-13 11:12:09,274,10,5,273,1,0,0,0,0
22707976849_10153629018031850,Home runs and hustle; the MLB All-Star Game had it all with Intel 360 replay technology. #ASG,,video,https://www.facebook.com/Intel/videos/10153629018031850/,2016-07-13 10:21:58,120,5,7,119,1,0,0,0,0
22707976849_10153627985946850,"With Intel's 360 replay technology, you aren't just switching cameras, you are experiencing an entirely new three dimensional reconstruction of the play. #ASG #Intel",,video,https://www.facebook.com/Intel/videos/10153627985946850/,2016-07-12 23:14:42,107,3,6,105,2,0,0,0,0
22707976849_10153627937836850,Experience the skill of the pros from all angles with Intel 360 replay technology at the MLB All-Star Game #ASG,,video,https://www.facebook.com/Intel/videos/10153627937836850/,2016-07-12 22:41:40,136,12,10,134,1,1,0,0,0
22707976849_10153627631336850,"Home runs from every angle at the T-Mobile #HRDerby, featuring 360 replay technology by #Intel.",,video,https://www.facebook.com/Intel/videos/10153627631336850/,2016-07-12 19:15:45,678,48,137,659,4,15,0,0,0
22707976849_10153627609681850,"Baseball's brightest stars shine tonight during the MLB All-Star Game, and Intel 360 replay technology will be bringing all new views of the all star action. #ASG",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153627608006850/?type=3,2016-07-12 18:55:58,80,28,1,79,1,0,0,0,0
22707976849_10153627477676850,Experience home runs in a whole new way with immersive 360 replay technology from the T-Mobile #HRDerby.,,video,https://www.facebook.com/Intel/videos/10153627477676850/,2016-07-12 17:47:19,105,47,8,101,2,2,0,0,0
22707976849_10153627443051850,Ever wonder how #Intel 360 replay technology works? See a quick behind-the-scenes view from MLB All-Star Game.,,video,https://www.facebook.com/Intel/videos/10153627443051850/,2016-07-12 17:01:48,110,45,11,108,2,0,0,0,0
22707976849_10153626504536850,What do you get from twenty-eight 5k cameras producing 1TB of data per second? A unique 3D view of @MLBAllStar action. #Intel,,video,https://www.facebook.com/Intel/videos/10153626504536850/,2016-07-12 08:45:45,121,16,9,116,2,3,0,0,0
22707976849_10153625751311850,A new king is crowned! Catch the best angles of the T-Mobile #HRDerby at the MLB All-Star Game with Intel 360 replay technology.,Home Run Derby,video,https://www.facebook.com/Intel/videos/10153625751311850/,2016-07-11 22:56:55,168,7,16,165,3,0,0,0,0
22707976849_10153625161731850,"Our twenty-eight 5k cameras produce 1TB of data every second to bring Intel 360 replay technology to life, highlighting the immersive action of the MLB Midsummer Classic. #ASG",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153625156316850/?type=3,2016-07-11 17:02:21,124,17,9,114,6,4,0,0,0
22707976849_10153625100941850,"Intel inside, exciting experiences outside. Get a more in-depth look at how #Intel tech was integrated into Red Bull X-Fighters to bring audiences live performance data!",,video,https://www.facebook.com/Intel/videos/10153625100941850/,2016-07-11 16:24:05,1783,36,488,1733,31,18,1,0,0
22707976849_10153625005636850,See a behind-the-scenes view of the Intel 360 replay technology setup that is currently deployed for the MLB All-Star Game.,MLB All-Star behind-the-scenes with Intel,video,https://www.facebook.com/Intel/videos/10153625005636850/,2016-07-11 15:28:19,118,8,12,110,6,1,1,0,0
22707976849_10153624741416850,It took over a month to install and calibrate Intel 360 replay technology at Petco Park for this year's MLB All-Star Game and other events. We're so excited to be bringing new views to the action.,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153624737396850/?type=3,2016-07-11 13:02:13,4933,67,164,4836,56,38,2,1,0
22707976849_10153624633901850,"It's the ultimate design battle in this episode of #ExpertMode: Rig Wars! But with only two spots in the final challenge, that means one modder is going home. Find out who gets eliminated now: http://intel.ly/29sUik1",#ExpertMode: Rig Wars,video,https://www.facebook.com/Intel/videos/10153624633901850/,2016-07-11 12:00:54,96,6,13,93,3,0,0,0,0
22707976849_10153624565756850,"From clutch hits and strikeouts to close plays at the plate, see the @MLB All-Star #FuturesGame in a whole new way with Intel 360 replay technology.",,video,https://www.facebook.com/Intel/videos/10153624565756850/,2016-07-11 11:17:06,623,14,59,608,10,3,0,1,1
22707976849_10153623303921850,We're happy to announce a new partnership with MLB to bring Intel 360 replay technology to the MLB All-Star Game. https://newsroom.intel.com/editorials/now-batting-intel-and-a-new-all-star-experience/,Now Batting: Intel and a New All-Star Experience | Intel Newsroom,link,https://newsroom.intel.com/editorials/now-batting-intel-and-a-new-all-star-experience/,2016-07-10 20:39:08,123,5,16,117,3,2,0,0,1
22707976849_10153617861236850,"It's the ultimate design battle in this episode of #ExpertMode: Rig Wars! But with only two spots in the final challenge, that means one modder is going home. Find out who gets eliminated now: http://bit.ly/29mpH9m",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153617858396850/?type=3,2016-07-08 13:00:50,182,19,24,178,4,0,1,0,0
22707976849_10153615255626850,"As American women stepped up to support the WWII war effort, six female mathematicians embarked on a top secret Army project. The team programmed the ENIAC, the first all-electronic digital computer,  launching the modern software industry in the process: http://intel.ly/29lQ3qD",Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153615255626850/?type=3,2016-07-07 15:00:11,181,16,26,167,7,6,1,0,0
22707976849_10153613246621850,"What does playing like a girl mean? With the right environment and rig, nothing short of total domination: http://intel.ly/29jbEzX",Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153613246621850/?type=3,2016-07-06 12:00:14,2761,122,95,2631,87,28,11,1,3
22707976849_10153605499331850,"Before the fireworks, get your adrenaline fix with Red Bull X-Fighters featuring #Intel tech and live performance feedback. Tune in today at 12 PST!",,video,https://www.facebook.com/Intel/videos/10153605499331850/,2016-07-02 09:00:58,123,6,26,123,0,0,0,0,0
22707976849_10153604285631850,Be sure to tune in at 12 PST on 7/2 for the US broadcast of @RedBullXFighters with an exciting look at #Intel tech in action!,,video,https://www.facebook.com/Intel/videos/10153604285631850/,2016-07-01 16:44:34,127,9,26,126,1,0,0,0,0
