Word,ExpectedRate
0.1875,0
0.229166667,1
0.270833333,0
0.3125,0
0.354166667,0
0.4375,1
0.465972222,2
1,1
10,2
100,1
127,2
140,2
200,1
300,1
333,2
360,1
400,1
500,1
1000,1
2000,1
2009,1
2010,1
2011,2
2012,1
35064,1
35124,1
36557,1
40179,1
40237,1
41671,1
'',1
--,1
---,1
!,2
!',2
!!,1
!!!,1
"!!!""",1
!!!...,1
"!!""",1
!!..,1
!!...,1
!!:,1
"!""",2
!.,1
!..,1
!...,1
!:,1
!?,1
!?!,1
"""",1
$$,0
$$$,1
&&,1
&HEARTS,2
((,1
(),1
(@,1
({}),1
-),1
)),1
))),1
)RT,2
-*,2
**,1
*-*,1
***,1
*_*,1
*HUGS*,0
*MJB,1
*O*,1
*RT,1
*SIGH*,-1
.,1
.',1
.!,1
.!!,1
.!!!,1
..,1
..,1
..!,1
..!!,1
..!!!,1
"..""",1
...,1
...,0
...!,1
...!!,1
...!!!,1
"...""",1
...:,1
...?,1
..:,1
..?,1
..??,1
.:,1
.?,1
//,1
:,1
":""",1
:'(,-1
:-(,0
:((,-1
:(((,-1
:),5
:'),1
:-),2
:)),2
:))),2
:-/,0
::,1
:\,0
:],1
:D,1
:'D,1
:-D,2
:DD,2
:DDD,2
:-P,1
;(,-1
;-),2
;)),2
;/,-1
;;,1
;D,1
;O,0
;P,1
;S,0
?,0
?',1
?!,1
?!!!,0
?!?!,0
"?""",1
?.,1
?..,1
?...,1
?:,1
??,1
??!,0
??!!,0
???,0
\M/,2
\O/,1
^^,2
|VIA,2
<<,2
<<<,2
=(,-1
=),2
=)),1
=))),0
=/,0
=],1
==,0
->,1
>_<,0
><,0
>>,2
>RT,1
10AM,1
10TH,1
11TH,1
12TH,1
14TH,2
15TH,1
16TH,2
17TH,2
19TH,2
1ST,1
20TH,1
21ST,2
25TH,2
2AM,0
2DAY,1
2MORO,0
2MORROW,1
2ND,1
2NIGHT,1
2NITE,1
2PM,0
3AM,0
3RD,1
4AM,0
4TH,1
5AM,0
5PM,1
5TH,1
6AM,0
6PM,1
6TH,1
7AM,0
7PM,1
7TH,1
8AM,0
8PM,1
8TH,1
9AM,0
9PM,1
9TH,1
A.M.,1
AAA,-1
AAAH,0
AAAHH,0
AAAHHH,0
AAAI,-1
AAAW,1
AAH,0
AAHH,0
AAHHH,0
AARON,1
abandon,-2
abandoned,-2
abandons,-2
ABANG,1
ABC,1
abducted,-2
abduction,-2
abductions,-2
ABG,1
abhor,-3
abhorred,-3
abhorrent,-3
abhors,-3
ABI,1
abilities,2
ability,2
ABIS,0
ABIT,1
ABLE,0
aboard,1
ABRAZO,1
ABRIL,1
ABS,0
ABSEN,0
absentee,-1
absentees,-1
ABSOLUTE,1
ABSOLUTELY,1
absolve,2
absolved,2
absolves,2
absolving,2
absorbed,1
ABT,1
ABURRIDA,-1
ABURRIDO,-2
abuse,-3
abused,-3
abuses,-3
abusive,-3
ACA,1
ACABA,0
ACABAR,0
ACABO,0
ACADEMY,1
ACARA,1
ACC,2
ACCENT,2
accept,1
accepted,1
accepting,1
accepts,1
ACCESS,0
accident,-2
accidental,-2
accidentally,-2
accidents,-2
accomplish,2
accomplished,2
accomplishes,2
ACCORDING,1
ACCOUNT,1
ACCOUNTS,1
accusation,-2
accusations,-2
accuse,-2
accused,-2
accuses,-2
accusing,-2
ACE,2
ACH,1
ACHA,0
ache,-2
ACHEI,0
achievable,1
aching,-2
ACHTER,1
ACORDAR,1
ACORDEI,1
ACOUSTIC,2
acquit,2
acquits,2
acquitted,2
acquitting,2
acrimonious,-3
ACROSS,1
ACT,1
ACTING,0
ACTION,1
active,1
ACTOR,2
ACTUAL,1
ACTUALLY,1
ACUERDO,1
ADALAH,2
ADAM,1
ADANYA,1
ADD,2
ADDED,2
ADDICTED,2
ADDICTION,1
ADDING,2
ADDRESS,2
ADE,1
ADEK,1
ADELE,2
adequate,1
ADIK,1
ADIOS,1
ADJUSTMENT,2
ADMIN,2
admire,3
admired,3
admires,3
admiring,3
admit,-1
admits,-1
admitted,-1
admonish,-2
admonished,-2
ADO,0
adopt,1
adopts,1
adorable,3
adore,3
adored,3
ADOREI,3
adores,3
ADORO,2
ADUH,-1
ADULT,1
ADVANCE,2
advanced,1
advantage,2
advantages,2
adventure,2
adventures,2
adventurous,2
ADVICE,2
AEE,2
AEEE,2
AFF,-2
affected,-1
affection,3
affectionate,3
afflicted,-1
AFFORD,-1
affronted,-1
AFGELOPEN,-1
afraid,-2
AFRICA,1
AFTERNOON,2
AFTERWARDS,1
AGAK,1
AGAMA,1
