Word,ExpectedRate
.22 caliber,5
100th,3.489921568
10th,3.408635682
11th,3.406686694
12th,3.483877835
13th,3.255300021
145th,4
14th,3.428329774
150th,5
15th,3.545106353
16th,3.547366138
17th,3.613372496
18th,3.558390134
19th,3.686811009
2-dimensional,1
200th,2
20th,3.524630697
21st,3.190813177
22nd,3.665584547
23rd,4.034629371
24th,3.656320137
25th,3.576630354
26th,3.698491757
27th,3.463169059
28th,3.728117646
29th,3.933625781
2d,2.092458343
2nd,3.109902045
3-dimensional,3.260325435
30th,3.533327688
31st,3.007582543
32nd,3.42058737
33rd,3.904603195
34th,3.766254182
35th,3.74630886
36th,3.942239434
37th,4.502277027
38th,4.473191654
39th,3.750653734
3rd,3.551740472
4-dimensional,5
400th,4.029115907
40th,4.180767087
41st,3.938017468
43rd,4.803417279
44th,4.606653243
45th,3.875216086
46th,4.611181062
47th,4.268091093
48th,3.898093441
49th,4.259156748
4th,3.264936266
50th,4.253077496
55th,4.246369054
5th,3.730100962
60th,3.443091211
64th,4
65th,5
6th,3.322807523
70th,4.715507074
75th,3.721217053
7th,3.416882863
80th,3.901812713
8th,3.499140941
90th,5
95th,5
9th,4.47768538
a bit,3.450513669
a cappella,5
a cappella,5
a couple of,3.367022163
a few,3.240267874
a fortiori,1
a good deal,3.411979112
a great deal,3.53036838
a hundred times,3.052932299
a la carte,3.303455719
a la carte,3.303455719
a la mode,5
a la mode,5
a little,3.465844696
a lot,3.273885838
a million times,3.647599984
a posteriori,2
a posteriori,2
a priori,2.809602715
a priori,2.809602715
a trifle,2.815236416
a-ok,2
a.m.,3.040573356
aback,3.471586264
abandoned,3.159644795
abashed,5
abbreviated,2.647586336
abdominal,4.297564754
aberrant,3.541321843
abhorrent,3.474018083
abject,4
abjectly,2.554986914
ablaze,5
able-bodied,3.371104373
able,3.365199504
ably,3.664880853
abnormal,3.075388394
abnormally,2.12584132
aboard,5
abominable,1.944959748
abominably,2
aboriginal,5
abortive,3.679274827
about,5
about,3.096897929
above all,3.399609808
above-mentioned,2.423959226
above,3.145554808
above,3.627574498
abrasive,2.438774031
abreast,3.260325435
abreast,4.386034674
abridged,3.131225937
abroad,3.284477379
abrupt,2.921289853
abruptly,2.492209163
absent,2.828474453
absentmindedly,3.474018083
absolute,3.045006536
absolutely,3.261919811
absorbent,4.034332942
absorbing,4.219481944
abstract,3.209389761
abstracted,5
abstractly,3
abstruse,4.557034656
absurd,2.264257506
absurdly,2.948196771
abundant,3.557600027
abundantly,2.749698695
abused,4.043321592
abusive,2.375000983
abuzz,3.495002888
abysmal,2.397345585
abysmally,5
academic,3.286664095
academically,3.111490657
accelerated,3.541234481
accented,2
acceptable,2.601287034
acceptably,3.655707557
accepted,3.155064048
accessible,3.674658562
accessory,4.258879999
accidental,2.792057553
accidentally,3.126677366
accompanying,3.581613492
accomplished,3.089795081
accordingly,2.452163073
accountable,2.714371423
accredited,4.557034656
accurate,3.053634418
accurately,3.136694477
accusative,3
accusatory,3.679274827
accustomed,3.942234891
acerbic,5
achievable,4.485367641
achy,5
acid,3.889390775
acidic,5
acidulous,5
acknowledged,3.237815945
acoustic,2.797287948
acoustical,4
acquired,5
acrimonious,1.72522749
acrobatic,5
across the board,4.013155528
across the country,3.290869501
across the nation,3.621792493
across-the-board,4
across,2.064465249
acting,1
actionable,3.170453466
active,3.292013021
actively,3.3236878
actual,2.769089792
actually,2.8746667
acute,3.666227426
acutely,2.637372019
ad hoc,3.383191835
ad hoc,3.383191835
ad hominem,2.910771097
ad infinitum,3.851923716
ad lib,3.556591943
ad libitum,5
ad nauseam,2.517523943
ad val,2.645298262
adamant,2.908603742
adamantly,2.852940633
adaptable,3.717342969
adaptive,3.50822619
addictive,3.471919871
additional,3.037497553
additionally,2.57513269
additive,2.470745901
addled,2
addressable,3
adept,3.436396611
adequate to,3.247265738
adequate,3.417136053
adequately,3.030798274
adherent,3.371104373
adhesive,2.505319502
adiabatic,5
adjacent,3.163212976
adjectival,4
adjective,2.627217412
adjustable,3.60475305
adjusted,2.53276986
administrative,2.593058185
administratively,5
admirable,3.465005079
admirably,3.658005482
admiringly,5
admittedly,2.78447347
adolescent,3.158229365
adoptive,3.273851188
adorable,3.907903017
adorably,5
adrenal,2.72678161
adrift,5
adroit,5
adroitly,4.456031566
adulatory,2
adult,3.445905792
adulterous,2.196953157
advanced,3.730190013
advantageous,2.977037542
adventuresome,4.219481944
adventurous,3.590629482
adverse,3.148249626
adversely,2.973920471
advertised,2.65725665
advisable,3.55909823
advisory,5
aerial,4.653531998
aerobic,3.485522456
aerodynamic,1
aesthetic,3.289976493
aesthetical,4
aesthetically,3.241619743
afar,5
affable,3.502232531
affected,2.689556643
affectionate,3.911726269
affectionately,5
affective,2.416124995
affiliated,2.358829687
affirmative,3.073006792
affirmatively,2
affluent,3.763154968
affordable,3.935555124
afield,3.897994133
aflame,5
afoot,5
aforementioned,2.874575603
aforesaid,5
afoul,3.851923716
afraid,2.964889553
african-american,2.256389164
african,3.182707733
afro-american,5
aft,5
after all,3.019661169
after hours,3.149648315
after-hours,4
after-school,2.196953157
after,2.918209068
after,2.642135115
afterward,3.089574857
afterwards,2.870671312
again and again,3.642114142
again,3.19789511
against the clock,2.394258351
against the wind,2.924273228
against time,3.320757292
agape,1
age-old,3.139853754
age-related,4.386034674
ageing,5
ageless,5
aggravating,2.550617678
aggravatingly,1
aggregate,3.474018083
aggressive,3.022627909
aggressively,2.764301228
aghast,2.349309076
agile,2.796704393
aglow,3
agnostic,2.680948553
ago,3.258407927
agonizing,2.914768364
agonizingly,1.906722025
agoraphobic,1.697155506
agrarian,3.521425615
agreeable,3.077642692
agreeably,3.851923716
agreed upon,1.702932086
agricultural,3.706595499
ahead of the game,3.116717574
ahead of time,3.123755382
ahead,3.026613902
ahistorical,2.554986914
ailing,3.541234481
aimless,1.674672944
aimlessly,2.597247999
air-conditioned,4.414297364
air-tight,2.126177485
airborne,1.753996714
airtight,3.541234481
airy,3.776991386
ajar,3
akin,3.048828092
alarmed,2.891766319
alarming,3.104528382
alarmingly,2.540348741
alaskan,3.731970027
albanian,2
alchemical,5
alcoholic,3.541142466
aleatory,4
alert,3.126965689
algebraic,5
alien,3.203515083
alike,3.235666062
alive,3.420296716
alkaline,1
all along,3.424507716
all at once,3.731911956
all day long,3.652468301
all important,3.514906024
all in all,3.500749465
all in,3.352292185
all of a sudden,2.249073979
all over,2.610615932
all over,2.610615932
all right,2.89324823
all right,2.89324823
all the same,2.921806889
all the time,3.051378275
all the way,3.035441475
all together,3.065289534
all told,3.187735666
all too,3.165372606
all-around,3.720538874
all-embracing,1.697155506
all-encompassing,2.711517505
all-important,4.188368593
all-inclusive,3.347658331
all-knowing,2.72678161
all-night,4.386034674
all-or-nothing,3.488269766
all-out,4.715507074
all-powerful,2.416124995
all-purpose,4.834163945
all-round,3.715093417
all-time,3.465215741
all-weather,5
all,2.032283017
alleged,1.749162277
