Word,ExpectedRate,avg
.38 caliber,1,1
1000th,1.466403084,1.466403084
100th,1.9805998,1.9805998
101st,3,3
10th,2.907044322,2.907044322
115th,4,4
11th,2.862093172,2.862093172
120th,2,2
12th,3.121088369,3.121088369
13th,4.016240576,4.016240576
14th,2.588558845,2.588558845
150th,5,5
15th,2.67672852,2.67672852
16th,3.284668881,3.284668881
17th,2.733262563,2.733262563
18th,3.14427303,3.14427303
19th,3.058338326,3.058338326
2-dimensional,1.994021954,1.994021954
200th,2.245530376,2.245530376
20th,3.126471567,3.126471567
21st,2.769308722,2.769308722
22nd,3.541234481,3.541234481
23rd,2.406964871,2.406964871
24th,2.533532505,2.533532505
25th,3.29231009,3.29231009
26th,4.248203656,4.248203656
27th,4.299501915,4.299501915
28th,3.235136173,3.235136173
29th,5,5
2d,2.075379046,2.075379046
2nd,3.370465781,3.370465781
3-dimensional,3.273791903,3.273791903
300th,2.554986914,2.554986914
30th,2.589852035,2.589852035
31st,5,5
34th,3.541234481,3.541234481
35th,3.124955804,3.124955804
36th,5,5
38th,4,4
39th,5,5
3rd,3.219538341,3.219538341
400th,2,2
40th,2.533532505,2.533532505
44th,5,5
45th,5,5
46th,5,5
47th,3,3
49th,1.466403084,1.466403084
4th,3.262936437,3.262936437
500th,1.318813194,1.318813194
50th,2.796428029,2.796428029
5th,3.23973351,3.23973351
60th,5,5
6th,3.144952261,3.144952261
75th,2,2
7th,2.956092861,2.956092861
85th,1.851302803,1.851302803
8th,2.757894148,2.757894148
9th,2.980073465,2.980073465
a bit,3.029418046,3.029418046
a couple of,3.002768274,3.002768274
a few,2.961084575,2.961084575
a good deal,2.963463861,2.963463861
a great deal,3.216723584,3.216723584
a hundred times,2.900939482,2.900939482
a la carte,2,2
a little,3.096691759,3.096691759
a lot,3.012185565,3.012185565
a million times,3.163831844,3.163831844
a priori,3.201089648,3.201089648
a trifle,2.639703003,2.639703003
a-ok,2.987771544,2.987771544
a-okay,2.241733787,2.241733787
a.m.,3.656983864,3.656983864
aback,3.440710174,3.440710174
abandoned,4,4
abbreviated,2.911059607,2.911059607
aberrant,5,5
abhorrent,2.347013449,2.347013449
abject,3.188098702,3.188098702
abjectly,5,5
able-bodied,4,4
able,3.097619894,3.097619894
ably,3.68995109,3.68995109
abnormal,2.765659056,2.765659056
abnormally,1.9778039,1.9778039
aboard,2,2
abominable,2.311583645,2.311583645
abominably,2.126177485,2.126177485
aboriginal,3,3
abortive,3.541234481,3.541234481
about,5,3.862243304
above all,3.392441358,3.392441358
above-mentioned,2.918209068,2.918209068
above,2.482892022,2.735375695
abrasive,2.77346071,2.77346071
abreast,3,3
abridged,2.802651282,2.802651282
abroad,2.972300955,2.972300955
abrupt,2.942971575,2.942971575
abruptly,2.655061633,2.655061633
absent,2.616958929,2.616958929
absently,5,5
absentmindedly,2.79522552,2.79522552
absolute,3.210303695,3.210303695
absolutely,3.179670443,3.179670443
absolutist,3.371104373,3.371104373
absolved,2.064465249,2.064465249
absorbent,1,1
absorbing,3.472172607,3.472172607
abstinent,1.972759247,1.972759247
abstract,2.88273145,2.88273145
abstracted,4,4
abstractly,3.312963962,3.312963962
abstruse,3.889390775,3.889390775
absurd,2.322673267,2.322673267
absurdly,2.503662948,2.503662948
abundant,2.670249303,2.670249303
abundantly,2.107041961,2.107041961
abused,2.943122549,2.943122549
abusive,2.097130482,2.097130482
abuzz,4,4
abysmal,1.786243608,1.786243608
abysmally,1.466403084,1.466403084
abyssal,5,5
academic,2.679178956,2.679178956
academically,2.308391226,2.308391226
accelerated,2.628480268,2.628480268
acceleratory,4,4
accented,3.189408928,3.189408928
acceptable,2.516766729,2.516766729
acceptably,1.931633111,1.931633111
accepted,4.239183994,4.239183994
accessible,3.570376199,3.570376199
accessory,2.583542611,2.583542611
accident-prone,3.646613446,3.646613446
accidental,3.017922867,3.017922867
accidentally,2.707029804,2.707029804
accompanying,1,1
accomplished,3.063490741,3.063490741
accordingly,3.217277044,3.217277044
accountable,2.764224116,2.764224116
accredited,2,2
accurate,3.084518866,3.084518866
accurately,2.844992998,2.844992998
accursed,2,2
accusatory,1.726966892,1.726966892
accustomed,3.13946922,3.13946922
acerbic,3.837956381,3.837956381
achievable,3.971225348,3.971225348
acid,2.583542611,2.583542611
acidic,2.29156426,2.29156426
acknowledgeable,5,5
acknowledged,2.647586336,2.647586336
acquisitive,4,4
acrid,2,2
acrobatic,1,1
acrophobic,3,3
across the board,2.478016117,2.478016117
across the country,2.896012298,2.896012298
across the nation,2.004734043,2.004734043
across,4,4
acting,2.245530376,2.245530376
actionable,1,1
active,3.014103368,3.014103368
actively,2.573803311,2.573803311
activist,5,5
actual,2.516892068,2.516892068
actually,2.774323388,2.774323388
acute,3.01054,3.01054
acutely,3.217267602,3.217267602
ad hoc,3.541234481,3.541234481
ad hominem,1,1
ad infinitum,1.968703844,1.968703844
ad lib,2.241733787,2.241733787
ad libitum,1,1
ad nauseam,1.796986809,1.796986809
ad val,2.849083035,2.849083035
adamant,2.714487618,2.714487618
adamantine,5,5
adamantly,3.779014875,3.779014875
adaptable,3.679274827,3.679274827
