,Word,Tag,ExpectedRate
0,aa,n,5.85581787844
1,aaa,n,4.92231637071
2,aaaah,n,4.76633131346
3,aaah,n,4.93269716474
4,aaargh,n,3.13605035777
5,aag,n,4.25506334258
6,aah,n,4.96176675234
7,aah,v,5.06914882558
8,aahs,n,6.79446414683
9,aaj,n,7.08346899918
10,aaja,n,4.73403500322
11,aaker,n,6.01000726833
12,aaliyah,n,4.82369302596
13,aalox,n,5.67135147019
14,aames,n,6.01383527405
15,aamir,n,7.06277096642
16,aang,n,9.6431270064
17,aankhen,n,6.14386217125
18,aap,n,5.46895637576
19,aapke,n,4.00454708551
20,aardman,n,7.30808864929
21,aardvark,n,6.18713750761
22,aargh,n,2.91236613573
23,aaron,n,6.24443493059
24,aarti,n,5.93578857112
25,ab,n,5.17929213178
26,aba,n,5.15944749276
27,aback,r,6.5569838635
28,abagail,n,5.54636170209
29,abagnale,n,6.94169002847
30,abandon,n,4.56401378158
31,abandon,v,5.32474985222
32,abandoned,a,5.40640032367
33,abandoned,n,4.845997006
34,abandonment,n,6.11394892725
35,abate,v,5.7423616692
36,abattoir,n,5.6977227533
37,abba,n,5.31555648778
38,abbaji,n,9.06305465396
39,abbas,n,6.37131829859
40,abbass,n,8.13632260901
41,abbe,n,6.50843689889
42,abberline,n,5.81328901574
43,abberton,n,5.7863993036
44,abbess,n,6.43409834976
45,abbey,n,5.75489630738
46,abbie,n,5.96303421823
47,abbot,n,5.87315802346
48,abbott,n,5.98637736617
49,abbotts,n,6.25754810284
50,abbreviate,v,5.76839695335
51,abbreviated,a,5.4798635226
52,abbreviation,n,4.98382134315
53,abby,n,5.76122522288
54,abc,n,5.98400556878
55,abcd,n,5.25777184645
56,abdalla,n,7.37247513578
57,abdel,n,7.2901547882
58,abdicate,v,6.06923180784
59,abdication,n,6.35397706154
60,abdomen,n,4.81427109025
61,abdominal,a,4.563768202
62,abduct,v,5.24471754441
63,abducted,n,5.31519815626
64,abductee,n,7.07029062539
65,abductees,n,5.21764398297
66,abduction,n,5.47100214523
67,abductor,n,5.1262511934
68,abdul,n,5.04608665889
69,abdullah,n,6.34911893416
70,abe,n,6.16214364699
71,abel,n,5.94065113096
72,abelard,n,8.15104998002
73,abell,n,4.51021233782
74,abercrombie,n,3.86803408178
75,aberdeen,n,7.08859672502
76,aberjhani,n,9.3034409728
77,aberline,n,6.06539028559
78,abernathy,n,5.2031872741
79,aberrant,a,5.81374973296
80,aberration,n,4.86161940275
81,abet,v,6.15270952905
82,abfab,n,7.87451945191
83,abhay,n,7.6224024205
84,abhi,n,5.1883418234
85,abhimanyu,n,8.36407054204
86,abhishek,n,4.88513387638
87,abhor,n,4.28835134951
88,abhor,v,5.05698042416
89,abhorred,a,5.56671361599
90,abhorrence,n,5.76792399011
91,abhorrent,a,4.25551413406
92,abhorrent,n,3.60306788589
93,abi,n,6.25071274939
94,abide,v,6.00839792048
95,abides,n,7.00616836441
96,abiding,n,5.83303171244
97,abigail,n,6.20759642694
98,abigal,n,6.98762077406
99,abignale,n,8.3389408627
100,abilene,n,6.06514037335
101,ability,n,5.72019643836
102,abishek,n,4.63028814485
103,abit,a,6.40039967145
104,abit,n,5.83472305455
105,abit,r,6.44241353145
106,abit,v,5.23368440654
107,abject,a,4.56625916303
108,abject,n,4.77032084752
109,abject,v,5.63691558469
110,abjectly,r,4.63722444074
111,abkani,n,2.23142832904
112,abkarian,n,5.42154352971
113,abl,n,5.36399096417
114,ablaze,n,4.79485970541
115,ablaze,v,5.46411408086
116,able,a,5.72299503754
117,able,n,5.92809705242
118,ably,r,6.90589169643
119,abm,n,6.65536779071
120,abner,n,5.96253904739
121,abney,n,8.68280130224
122,abnormal,a,5.94883278587
123,abnormality,n,5.64455353891
124,abnormally,r,5.14860916239
125,aboard,r,5.45904110725
126,abode,n,5.52208832101
127,abolish,v,5.82844247746
128,abolishment,n,7.03388097825
129,abolition,n,6.38945340622
130,abolitionist,n,5.9491042521
131,abominable,a,3.8441059427
132,abominable,n,5.87042219523
133,abominably,r,3.98342499958
134,abomination,n,2.915299411
135,aboriginal,a,6.59102578481
136,aboriginal,n,6.27224200571
137,aborigine,n,6.70433598567
138,abort,n,4.42215698324
139,abort,v,4.8609385891
140,aborted,a,4.7677877096
141,abortion,n,4.93644650134
142,abortionist,n,5.96790891923
143,abortive,a,5.001172317
144,abou,n,4.58383388915
145,abound,v,5.31566038786
146,about,n,4.90422339283
147,about,r,5.06866864934
148,abouts,v,4.2686450119
149,above,a,5.39646806369
150,above,n,5.94555136491
151,above,r,5.62808624533
152,abra,n,6.75240608223
153,abracadabra,n,4.72648025253
154,abraham,n,5.97425332522
155,abrahms,n,7.15604991564
156,abram,n,4.75319222637
157,abrams,n,5.91865805809
158,abrasive,a,5.32357447642
159,abrasiveness,n,5.91083039373
160,abraxas,n,3.58446325364
161,abre,n,5.72930308246
162,abreast,n,5.46136343395
163,abridge,v,6.26793942915
164,abridged,a,5.79267637734
165,abril,n,5.85954320059
166,abroad,r,6.05236308069
167,abrupt,a,5.54083923772
168,abruptly,r,5.13542408346
169,abruptness,n,5.84956485805
170,absa,n,6.31304185308
171,absalon,n,8.44421764048
172,abscond,v,5.7861016433
173,absence,n,5.41805339359
174,absent,a,5.04349714065
175,absent,n,5.47877545725
