,Unnamed: 0.1,Word,ExpectedRate
0,0,1000th/a,5.0
1,5,100th/a,4.23673995
2,10,105th/a,3.0
3,15,10th/a,3.801413623
4,20,11th/a,4.18064672
5,25,125th/a,4.320261498
6,30,12th/a,3.403004028
7,35,130th/a,5.0
8,40,13th/a,3.245642297
9,45,14th/a,3.102453991
10,50,155th/a,5.0
11,55,15th/a,3.842017103
12,60,16th/a,3.904947583
13,65,170th/a,5.0
14,70,17th/a,3.536657705
15,75,18th/a,3.367583912
16,80,19th/a,3.407814651
17,85,20th/a,3.824827299
18,90,21st/a,4.029878699
19,95,22nd/a,4.141645211
20,100,23rd/a,3.896704257
21,105,24th/a,3.781209992
22,110,25th/a,3.467641214
23,115,26th/a,3.453006517
24,120,27th/a,3.280874465
25,125,28th/a,3.666520293
26,130,29th/a,4.12458498
27,135,2d/a,3.519307285
28,140,2nd/a,2.908759644
29,145,3-dimensional/a,4.0
30,150,30th/a,3.57210338
31,155,31st/a,2.898101628
32,160,32nd/a,4.34287069
33,165,33rd/a,4.220351529
34,170,34th/a,3.532322358
35,175,35th/a,3.547214554
36,180,36th/a,3.628280729
37,185,37th/a,3.668866854
38,190,38th/a,4.605173189
39,195,39th/a,4.295557182
40,200,3rd/a,2.792256722
41,205,40th/a,3.715319931
42,210,43rd/a,4.537581676
43,215,44th/a,3.217122473
44,220,45th/a,2.852001123
45,225,46th/a,4.552721749
46,230,47th/a,3.065476241
47,235,48th/a,4.136656085
48,240,49th/a,4.057683714
49,245,4th/a,3.28289971
50,250,50th/a,3.631567316
51,255,55th/a,3.467612194
52,260,5th/a,3.708672188
53,265,60th/a,4.134622893
54,270,64th/a,2.168055077
55,275,65th/a,3.644694053
56,280,6th/a,3.479783359
57,285,70th/a,3.936084052
58,290,75th/a,4.6353568
59,295,7th/a,3.850098711
60,300,80th/a,3.710590374
61,305,85th/a,3.956096053
62,310,8th/a,3.313517547
63,315,90th/a,3.610339512
64,320,95th/a,1.557144754
65,325,9th/a,3.816165695
66,330,a bit/r,3.339033958
67,335,a couple of/a,2.973762805
68,340,a few/a,2.934749528
69,345,a good deal/r,3.167346759
70,350,a great deal/r,3.708983807
71,355,a hundred times/r,3.966582371
72,360,a la carte/a,3.080938935
73,365,a la carte/r,3.080938935
74,370,a la mode/a,4.167271701
75,375,a la mode/r,4.167271701
76,380,a little/r,3.421504737
77,385,a lot/r,2.990180363
78,390,a million times/r,3.891252852
79,395,a priori/a,2.267813823
80,400,a priori/r,2.267813823
81,405,a trifle/r,3.007299793
82,410,a-ok/a,3.0
83,415,a-okay/a,3.0
84,420,a-one/a,4.738693521
85,425,a.m./r,2.449539037
86,430,aback/r,2.667041432
87,435,abbreviated/a,2.400911905
88,440,abhorrent/a,1.0
89,445,able-bodied/a,5.0
90,450,able/a,3.292244743
91,455,ably/r,4.00494835
92,460,abnormal/a,3.457220148
93,465,abnormally/r,1.971239299
94,470,abominable/a,1.596640531
95,475,abominably/r,3.0
96,480,about/a,4.0
97,485,about/r,2.52876085
98,490,above all/r,3.763525651
99,495,above-mentioned/a,3.760391657
100,500,above/a,3.005236704
101,505,above/r,4.254324608
102,510,abrasive/a,2.044906252
103,515,abridged/a,1.499150184
104,520,abroad/r,3.565376095
105,525,abrupt/a,2.169167036
106,530,abruptly/r,1.648635117
107,535,absent/a,2.161521638
108,540,absentminded/a,3.511014876
109,545,absentmindedly/r,4.0
110,550,absolute/a,3.767085887
111,555,absolutely/r,3.725197625
112,560,absorbent/a,1.285159438
113,565,absorbing/a,3.058870918
114,570,absorptive/a,3.0
115,575,abstract/a,3.956107302
116,580,absurd/a,2.203637789
117,585,absurdly/r,2.363821797
118,590,abundant/a,3.29989428
119,595,abundantly/r,4.414491919
120,600,abused/a,1.247261155
121,605,abusive/a,2.911527555
122,610,abuzz/a,4.127066041
123,615,abysmal/a,1.564856076
124,620,abysmally/r,1.923701443
125,625,academic/a,4.738693521
126,630,accented/a,3.69022668
127,635,acceptable/a,2.4251926
128,640,acceptably/r,2.989094564
129,645,accessible/a,3.678571262
130,650,accessory/a,4.0
131,655,accidental/a,3.684949058
132,660,accidentally/r,2.828141956
133,665,accommodatingly/r,4.0
134,670,accommodative/a,3.27743112
135,675,accompanying/a,3.512685131
136,680,accomplished/a,2.965949714
137,685,accordingly/r,3.080954213
138,690,accountable/a,3.264765546
139,695,accurate/a,3.292847872
140,700,accurately/r,2.776999889
141,705,accusatory/a,3.0
142,710,accustomed/a,2.892064904
143,715,acerbic/a,5.0
144,720,acetic/a,3.0
145,725,acid/a,2.730204884
146,730,acidic/a,3.050200272
147,735,acknowledged/a,1.922538596
148,740,acoustic/a,2.922162327
149,745,acoustical/a,2.007044023
150,750,acoustically/r,3.219290978
151,755,acrid/a,1.105037268
152,760,acrobatic/a,5.0
153,765,across the board/r,3.563043399
154,770,across the country/r,3.513400636
155,775,across the nation/r,3.27743112
156,780,across-the-board/a,3.674620964
157,785,acting/a,3.405740792
158,790,active/a,3.452448906
159,795,actively/r,3.333516572
160,800,actual/a,2.499057963
161,805,actually/r,2.649657688
162,810,acute/a,3.866200925
163,815,acutely/r,2.37337366
164,820,ad hoc/a,3.687537176
165,825,ad hoc/r,3.687537176
166,830,ad lib/r,1.312145792
167,835,ad nauseam/r,4.0
168,840,ad val/r,2.912650786
169,845,adamant/a,1.602404683
170,850,adamantly/r,3.350719146
171,855,adaptable/a,3.395021765
172,860,adaptative/a,5.0
173,865,adaptive/a,5.0
174,870,addictive/a,4.170280109
175,875,additional/a,2.602786927
176,880,additionally/r,2.43177591
177,885,additive/a,4.485148584
178,890,addled/a,4.0
179,895,adept/a,4.042078921
180,900,adequate to/a,3.351554208
181,905,adequate/a,2.688033583
182,910,adequately/r,2.570792741
183,915,adjacent/a,2.783207727
184,920,adjective/a,1.290448799
185,925,adjunct/a,4.0
186,930,adjustable/a,4.320261498
187,935,adjusted/a,3.043810208
188,940,administrative/a,3.139786479
189,945,admirable/a,3.795337779
190,950,admirably/r,4.585657438
191,955,admittedly/r,2.367502331
192,960,adolescent/a,4.0
193,965,adorable/a,3.668303855
194,970,adorably/r,5.0
195,975,adored/a,4.0
196,980,adroitly/r,2.37337366
197,985,adult/a,3.157320205
198,990,adulterated/a,3.0
199,995,advanced/a,2.279560911
200,1000,advantageous/a,2.842313662
201,1005,adventuresome/a,4.300409916
202,1010,adventurous/a,3.802559301
203,1015,adverse/a,3.602410994
204,1020,adversely/r,2.614842408
205,1025,advertised/a,2.506501874
206,1030,advisable/a,2.721134223
207,1035,advisory/a,5.0
208,1040,aegean/a,4.485148584
209,1045,aerated/a,3.211944461
210,1050,aerial/a,4.485148584
211,1055,aesthetic/a,3.501488689
212,1060,aesthetically/r,3.470801166
213,1065,afar/r,3.211944461
214,1070,affable/a,3.838570306
215,1075,affected/a,3.242354501
216,1080,affectionate/a,3.0
217,1085,affectionately/r,4.485148584
218,1090,affective/a,4.0
219,1095,affiliated/a,3.380779364
220,1100,affirmative/a,4.320261498
221,1105,affirmatively/r,4.0
222,1110,affluent/a,2.49944512
223,1115,affordable/a,3.884405621
224,1120,afield/r,2.37337366
225,1125,aforementioned/a,2.935077727
226,1130,afraid/a,2.771163731
227,1135,african-american/a,3.0
228,1140,african/a,3.684448185
229,1145,aft/r,2.0
230,1150,after all/r,2.609088183
231,1155,after hours/r,2.65009316
232,1160,after-hours/a,4.0
233,1165,after/a,3.0
234,1170,after/r,2.565433563
235,1175,afterward/r,3.339376888
236,1180,afterwards/r,2.897095201
237,1185,again and again/r,4.430203633
238,1190,again/r,3.087989057
239,1195,against the wind/r,3.111175702
240,1200,aged/a,5.0
241,1205,ageing/a,4.485148584
242,1210,ageless/a,4.653333396
243,1215,aggravating/a,3.461207072
244,1220,aggressive/a,2.404173424
245,1225,aggressively/r,2.273884007
246,1230,aghast/a,1.479295647
247,1235,ago/r,2.755278244
248,1240,agog/a,1.0
249,1245,agonizing/a,3.511525939
250,1250,agonizingly/r,1.399274906
251,1255,agreeable/a,3.399298524
252,1260,agreeably/r,3.866200925
253,1265,agreed upon/a,3.897339172
254,1270,agreed/a,3.0
255,1275,agricultural/a,4.0
256,1280,aground/a,3.0
257,1285,ahead of the game/r,4.0
258,1290,ahead of time/r,2.887731467
259,1295,ahead/r,2.692809184
260,1300,aimless/a,1.285159438
261,1305,aimlessly/r,1.718139942
262,1310,air-conditioned/a,4.007038069
263,1315,air-dried/a,4.0
264,1320,air-dry/a,4.0
265,1325,airborne/a,4.0
266,1330,airheaded/a,5.0
267,1335,airlike/a,4.0
268,1340,airy/a,3.784707921
269,1345,akin/a,2.155508042
270,1350,al dente/a,2.786889402
271,1355,alarmed/a,4.0
272,1360,alarming/a,3.12407911
273,1365,alarmingly/r,1.701557047
274,1370,alaskan/a,3.28219818
275,1375,alcoholic/a,2.828310967
276,1380,alert/a,3.268603758
277,1385,alertly/r,5.0
278,1390,alfresco/r,3.962758168
279,1395,alien/a,5.0
280,1400,alienating/a,5.0
281,1405,alike/r,3.641218235
282,1410,alive/a,4.029468168
283,1415,all along/r,3.872578456
284,1420,all at once/r,2.648456939
285,1425,all day long/r,2.455955527
286,1430,all important/a,4.435826928
287,1435,all in all/r,3.256108862
288,1440,all in/a,3.24663812
289,1445,all of a sudden/r,3.261830845
290,1450,all over/a,2.563439499
291,1455,all over/r,2.563439499
292,1460,all right/a,2.888564024
293,1465,all right/r,2.888564024
294,1470,all the same/r,3.06165303
295,1475,all the time/r,3.129519911
296,1480,all the way/r,3.288557565
297,1485,all together/r,2.811334641
298,1490,all told/r,2.875673244
299,1495,all too/r,3.1292815
300,1500,all-around/a,4.090039194
301,1505,all-encompassing/a,5.0
302,1510,all-important/a,4.0
303,1515,all-inclusive/a,3.555516952
304,1520,all-night/a,2.0
305,1525,all-out/a,4.485148584
306,1530,all-purpose/a,3.0
307,1535,all-round/a,4.492155269
308,1540,all-time/a,3.66507992
309,1545,all/a,5.0
310,1550,all/r,3.231724521
311,1555,alleged/a,1.94776508
312,1560,allegedly/r,2.409349504
313,1565,allergenic/a,5.0
314,1570,allotted/a,2.818852991
315,1575,allowable/a,3.0
316,1580,alluring/a,4.146093012
317,1585,almighty/a,2.646377168
318,1590,almond-shaped/a,2.698129085
319,1595,almost/r,2.526274808
320,1600,aloft/r,2.37337366
321,1605,alone/a,3.505545768
322,1610,alone/r,3.02401151
323,1615,along/r,3.438179291
324,1620,aloof/a,2.40113936
325,1625,aloof/r,3.128550484
326,1630,aloud/r,3.380779364
327,1635,alphabetical/a,5.0
328,1640,alphabetically/r,2.0
329,1645,alpine/a,2.783242162
330,1650,already/r,2.917415066
331,1655,alright/a,2.37401256
332,1660,alright/r,2.547934162
333,1665,alsatian/a,4.081276167
334,1670,also known as/r,2.486976142
335,1675,also/r,3.136214521
336,1680,altered/a,2.229538678
337,1685,alternate/a,2.497879634
338,1690,alternately/r,3.301062003
339,1695,alternative/a,2.646467517
340,1700,alternatively/r,1.884572422
341,1705,altogether/r,2.938908353
342,1710,always/r,3.985550397
343,1715,amateur/a,2.199518769
344,1720,amateurish/a,2.002644029
345,1725,amazing/a,4.251954166
346,1730,amazingly/r,3.939945378
347,1735,amber/a,5.0
348,1740,ambient/a,3.372428782
349,1745,ambiguous/a,1.973136076
350,1750,ambiguously/r,3.0
351,1755,ambitious/a,3.071328325
352,1760,ambitiously/r,3.810376789
353,1765,ambivalent/a,2.031526634
354,1770,ambrosial/a,4.190661521
355,1775,ameliorating/a,3.0
356,1780,amenable/a,2.703070465
357,1785,american/a,3.35210519
358,1790,amiable/a,3.485932784
359,1795,amiably/r,1.541570546
360,1800,amicable/a,3.571169023
361,1805,amicably/r,2.0
362,1810,amiss/a,2.553419014
363,1815,amok/r,2.486976142
364,1820,amorous/a,3.350719146
365,1825,ample/a,3.604838517
366,1830,amply/r,4.177534576
367,1835,amusing/a,3.118883284
368,1840,amusingly/r,4.239024441
369,1845,anachronous/a,4.0
370,1850,anaemic/a,2.0
371,1855,ancient/a,3.326451498
372,1860,ancillary/a,3.447589599
373,1865,and how/r,2.946829972
374,1870,and so forth/r,3.866200925
375,1875,and so on/r,2.509435427
376,1880,and so/r,3.106199328
377,1885,and then some/r,3.832423225
378,1890,and then/r,2.336546224
379,1895,andean/a,4.653333396
380,1900,anemic/a,1.707604932
381,1905,anew/r,1.869074287
382,1910,angelic/a,4.208549836
383,1915,angered/a,2.486976142
384,1920,angled/a,2.646377168
385,1925,angrily/r,1.358217521
386,1930,angry/a,1.765015971
387,1935,angular/a,4.0
388,1940,animal/a,2.237207313
389,1945,animated/a,3.65037317
390,1950,annoyed/a,2.173731442
391,1955,annoying/a,2.617438807
392,1960,annoyingly/r,3.013644637
393,1965,annual/a,4.131067685
394,1970,annually/r,4.027373859
395,1975,anomalous/a,4.0
396,1980,anonymous/a,2.852020976
397,1985,anonymously/r,2.698129085
398,1990,anorexic/a,1.660202281
399,1995,antebellum/a,4.0
400,2000,anti/a,4.653333396
401,2005,antibiotic/a,4.320261498
402,2010,anticipated/a,3.155862158
403,2015,anticipatory/a,3.755907946
404,2020,anticlimactic/a,1.828238033
405,2025,antiquated/a,1.610312902
406,2030,antique/a,4.150947286
407,2035,antiseptic/a,3.097499893
408,2040,antisocial/a,4.0
409,2045,antithetical/a,2.0
410,2050,antsy/a,3.59918598
411,2055,anxious/a,2.925633122
412,2060,anxiously/r,2.613114536
413,2065,any longer/r,2.031401004
414,2070,any/a,5.0
415,2075,any/r,2.880399193
416,2080,anymore/r,2.310708714
417,2085,anyplace/r,5.0
418,2090,anyway/r,2.645784116
419,2095,anyways/r,2.760261218
420,2100,anywhere/r,3.357424193
421,2105,apace/r,3.0
422,2110,apart/r,2.749228599
423,2115,apathetic/a,1.698814759
424,2120,aphrodisiac/a,4.738693521
425,2125,apiece/r,2.659706534
426,2130,apologetic/a,2.308271947
427,2135,apologetically/r,4.005345109
428,2140,appallingly/r,1.441386304
429,2145,apparent/a,2.524936719
430,2150,apparently/r,2.153306565
431,2155,appealing/a,3.126203382
432,2160,appealingly/r,3.735299775
433,2165,appetising/a,2.792840092
434,2170,appetizing/a,2.464481153
435,2175,applaudable/a,2.0
436,2180,applicable/a,2.422201732
437,2185,appreciable/a,4.55681825
438,2190,appreciably/r,3.132673958
439,2195,appreciative/a,3.906382581
440,2200,apprehensive/a,4.168427065
441,2205,approachable/a,3.918045474
442,2210,appropriate/a,3.221307251
443,2215,appropriately/r,3.399668767
444,2220,approvingly/r,5.0
445,2225,approximate/a,3.58834018
446,2230,approximately/r,2.3397449
447,2235,apt/a,2.415179572
448,2240,aptly/r,3.628146538
449,2245,aquatic/a,5.0
450,2250,arabian/a,4.485148584
451,2255,arabic/a,4.320261498
452,2260,arbitrarily/r,3.27743112
453,2265,arbitrary/a,1.797641566
454,2270,arboreal/a,4.0
455,2275,arcadian/a,4.0
456,2280,archaeological/a,3.0
457,2285,archaic/a,3.0
458,2290,arched/a,4.414084574
459,2295,archetypal/a,5.0
460,2300,architectural/a,3.028885063
461,2305,architecturally/r,2.599690083
462,2310,arctic/a,3.05896794
463,2315,ardent/a,4.485148584
464,2320,arduous/a,2.676193028
465,2325,argent/a,5.0
466,2330,argentine/a,3.683933224
467,2335,argentinian/a,3.639513426
468,2340,arguably/r,3.48605126
469,2345,argumentative/a,1.481727086
470,2350,arid/a,5.0
471,2355,armed/a,5.0
472,2360,armenian/a,4.008921972
473,2365,armored/a,1.0
474,2370,aromatic/a,3.699529592
475,2375,around the bend/a,3.674620964
476,2380,around/r,2.806153345
477,2385,arrayed/a,4.0
478,2390,arresting/a,4.485148584
479,2395,arrogant/a,1.831609863
480,2400,arrogantly/r,1.657077088
481,2405,artful/a,4.038636062
482,2410,artfully/r,3.983247869
483,2415,arthritic/a,5.0
484,2420,articulately/r,3.0
485,2425,artificial/a,2.289396386
486,2430,artificially/r,2.569931947
487,2435,artistic/a,3.830812237
488,2440,artistically/r,4.371050323
489,2445,artless/a,2.0
490,2450,artlessly/r,3.0
491,2455,arty/a,4.190661521
492,2460,as a group/r,3.202807722
493,2465,as a matter of fact/r,2.598815208
494,2470,as far as possible/r,2.982145983
495,2475,as follows/r,2.014511044
496,2480,as if by magic/r,4.585657438
497,2485,as it is/r,3.40781407
498,2490,as it were/r,3.430459528
499,2495,as luck would have it/r,4.158576089
500,2500,as much as possible/r,3.605952736
501,2505,as needed/r,3.374175628
502,2510,as required/r,2.294228145
503,2515,as such/r,2.932178295
504,2520,as usual/r,3.976552736
505,2525,as we say/r,2.783242162
506,2530,as well/r,3.516026609
507,2535,as yet/r,2.863847909
508,2540,as/r,3.308961882
509,2545,asap/r,3.334878558
510,2550,ashamed/a,1.684405045
511,2555,ashamedly/r,5.0
512,2560,ashore/r,4.485148584
513,2565,ashy/a,4.0
514,2570,asian/a,3.175665436
515,2575,asiatic/a,4.007038069
516,2580,aside/r,2.720891998
517,2585,asinine/a,2.0
518,2590,askew/a,2.0
519,2595,askew/r,4.0
520,2600,asleep/a,1.639490107
521,2605,asleep/r,2.088395356
522,2610,aspiring/a,4.653333396
523,2615,assaultive/a,3.0
524,2620,assertive/a,3.605185664
525,2625,assertively/r,2.967776365
526,2630,assiduous/a,3.350719146
527,2635,assigned/a,5.0
528,2640,assistant/a,2.449949877
529,2645,assistive/a,4.0
530,2650,associate/a,2.071329839
531,2655,associational/a,5.0
532,2660,assorted/a,3.350453133
533,2665,assumed/a,2.486976142
534,2670,assuredly/r,4.14090896
535,2675,asthmatic/a,2.783242162
536,2680,astonished/a,5.0
537,2685,astonishing/a,4.064323486
538,2690,astonishingly/r,2.299636794
539,2695,astounded/a,2.540531802
540,2700,astounding/a,3.888469771
541,2705,astray/r,3.548221086
542,2710,astringent/a,3.025214524
543,2715,astronomic/a,2.0
544,2720,astronomical/a,1.767065902
545,2725,astronomically/r,2.646377168
546,2730,astute/a,3.870391402
547,2735,astutely/r,4.0
548,2740,asymmetric/a,3.0
549,2745,at a loss/a,2.133158129
550,2750,at a loss/r,2.133158129
551,2755,at a low price/r,2.783242162
552,2760,at a time/r,2.380437684
553,2765,at all costs/r,1.263443713
554,2770,at all/r,2.402856911
555,2775,at any cost/r,2.0
556,2780,at any rate/r,3.002878962
557,2785,at bay/a,3.008595725
558,2790,at best/r,1.841175626
559,2795,at bottom/r,2.751174936
