Word,ExpectedRate
1000th,5
100th,4.23673995
105th,3
10th,3.801413623
11th,4.18064672
125th,4.320261498
12th,3.403004028
130th,5
13th,3.245642297
14th,3.102453991
155th,5
15th,3.842017103
16th,3.904947583
170th,5
17th,3.536657705
18th,3.367583912
19th,3.407814651
20th,3.824827299
21st,4.029878699
22nd,4.141645211
23rd,3.896704257
24th,3.781209992
25th,3.467641214
26th,3.453006517
27th,3.280874465
28th,3.666520293
29th,4.12458498
2d,3.519307285
2nd,2.908759644
3-dimensional,4
30th,3.57210338
31st,2.898101628
32nd,4.34287069
33rd,4.220351529
34th,3.532322358
35th,3.547214554
36th,3.628280729
37th,3.668866854
38th,4.605173189
39th,4.295557182
3rd,2.792256722
40th,3.715319931
43rd,4.537581676
44th,3.217122473
45th,2.852001123
46th,4.552721749
47th,3.065476241
48th,4.136656085
49th,4.057683714
4th,3.28289971
50th,3.631567316
55th,3.467612194
5th,3.708672188
60th,4.134622893
64th,2.168055077
65th,3.644694053
6th,3.479783359
70th,3.936084052
75th,4.6353568
7th,3.850098711
80th,3.710590374
85th,3.956096053
8th,3.313517547
90th,3.610339512
95th,1.557144754
9th,3.816165695
a bit,3.339033958
a couple of,2.973762805
a few,2.934749528
a good deal,3.167346759
a great deal,3.708983807
a hundred times,3.966582371
a la carte,3.080938935
a la carte,3.080938935
a la mode,4.167271701
a la mode,4.167271701
a little,3.421504737
a lot,2.990180363
a million times,3.891252852
a priori,2.267813823
a priori,2.267813823
a trifle,3.007299793
a-ok,3
a-okay,3
a-one,4.738693521
a.m.,2.449539037
aback,2.667041432
abbreviated,2.400911905
abhorrent,1
able-bodied,5
able,3.292244743
ably,4.00494835
abnormal,3.457220148
abnormally,1.971239299
abominable,1.596640531
abominably,3
about,4
about,2.52876085
above all,3.763525651
above-mentioned,3.760391657
above,3.005236704
above,4.254324608
abrasive,2.044906252
abridged,1.499150184
abroad,3.565376095
abrupt,2.169167036
abruptly,1.648635117
absent,2.161521638
absentminded,3.511014876
absentmindedly,4
absolute,3.767085887
absolutely,3.725197625
absorbent,1.285159438
absorbing,3.058870918
absorptive,3
abstract,3.956107302
absurd,2.203637789
absurdly,2.363821797
abundant,3.29989428
abundantly,4.414491919
abused,1.247261155
abusive,2.911527555
abuzz,4.127066041
abysmal,1.564856076
abysmally,1.923701443
academic,4.738693521
accented,3.69022668
acceptable,2.4251926
acceptably,2.989094564
accessible,3.678571262
accessory,4
accidental,3.684949058
accidentally,2.828141956
accommodatingly,4
accommodative,3.27743112
accompanying,3.512685131
accomplished,2.965949714
accordingly,3.080954213
accountable,3.264765546
accurate,3.292847872
accurately,2.776999889
accusatory,3
accustomed,2.892064904
acerbic,5
acetic,3
acid,2.730204884
acidic,3.050200272
acknowledged,1.922538596
acoustic,2.922162327
acoustical,2.007044023
acoustically,3.219290978
acrid,1.105037268
acrobatic,5
across the board,3.563043399
across the country,3.513400636
across the nation,3.27743112
across-the-board,3.674620964
acting,3.405740792
active,3.452448906
actively,3.333516572
actual,2.499057963
actually,2.649657688
acute,3.866200925
acutely,2.37337366
ad hoc,3.687537176
ad hoc,3.687537176
ad lib,1.312145792
ad nauseam,4
ad val,2.912650786
adamant,1.602404683
adamantly,3.350719146
adaptable,3.395021765
adaptative,5
adaptive,5
addictive,4.170280109
additional,2.602786927
additionally,2.43177591
additive,4.485148584
addled,4
adept,4.042078921
adequate to,3.351554208
adequate,2.688033583
adequately,2.570792741
adjacent,2.783207727
adjective,1.290448799
adjunct,4
adjustable,4.320261498
adjusted,3.043810208
administrative,3.139786479
admirable,3.795337779
admirably,4.585657438
admittedly,2.367502331
adolescent,4
adorable,3.668303855
adorably,5
adored,4
adroitly,2.37337366
adult,3.157320205
adulterated,3
advanced,2.279560911
advantageous,2.842313662
adventuresome,4.300409916
adventurous,3.802559301
adverse,3.602410994
adversely,2.614842408
advertised,2.506501874
advisable,2.721134223
advisory,5
aegean,4.485148584
aerated,3.211944461
aerial,4.485148584
aesthetic,3.501488689
aesthetically,3.470801166
afar,3.211944461
affable,3.838570306
affected,3.242354501
affectionate,3
affectionately,4.485148584
affective,4
affiliated,3.380779364
affirmative,4.320261498
affirmatively,4
affluent,2.49944512
affordable,3.884405621
afield,2.37337366
aforementioned,2.935077727
afraid,2.771163731
african-american,3
african,3.684448185
aft,2
after all,2.609088183
after hours,2.65009316
after-hours,4
after,3
after,2.565433563
afterward,3.339376888
afterwards,2.897095201
again and again,4.430203633
again,3.087989057
against the wind,3.111175702
aged,5
ageing,4.485148584
ageless,4.653333396
aggravating,3.461207072
aggressive,2.404173424
aggressively,2.273884007
aghast,1.479295647
ago,2.755278244
agog,1
agonizing,3.511525939
agonizingly,1.399274906
agreeable,3.399298524
agreeably,3.866200925
agreed upon,3.897339172
agreed,3
agricultural,4
aground,3
ahead of the game,4
ahead of time,2.887731467
ahead,2.692809184
aimless,1.285159438
aimlessly,1.718139942
air-conditioned,4.007038069
air-dried,4
air-dry,4
airborne,4
airheaded,5
airlike,4
airy,3.784707921
akin,2.155508042
al dente,2.786889402
alarmed,4
alarming,3.12407911
alarmingly,1.701557047
alaskan,3.28219818
alcoholic,2.828310967
alert,3.268603758
alertly,5
alfresco,3.962758168
alien,5
alienating,5
alike,3.641218235
alive,4.029468168
all along,3.872578456
all at once,2.648456939
all day long,2.455955527
all important,4.435826928
all in all,3.256108862
all in,3.24663812
all of a sudden,3.261830845
all over,2.563439499
all over,2.563439499
all right,2.888564024
all right,2.888564024
all the same,3.06165303
all the time,3.129519911
all the way,3.288557565
all together,2.811334641
all told,2.875673244
all too,3.1292815
all-around,4.090039194
all-encompassing,5
all-important,4
all-inclusive,3.555516952
all-night,2
all-out,4.485148584
all-purpose,3
all-round,4.492155269
all-time,3.66507992
all,5
all,3.231724521
alleged,1.94776508
allegedly,2.409349504
allergenic,5
allotted,2.818852991
allowable,3
alluring,4.146093012
almighty,2.646377168
almond-shaped,2.698129085
almost,2.526274808
aloft,2.37337366
alone,3.505545768
alone,3.02401151
along,3.438179291
aloof,2.40113936
aloof,3.128550484
aloud,3.380779364
alphabetical,5
alphabetically,2
alpine,2.783242162
already,2.917415066
alright,2.37401256
alright,2.547934162
alsatian,4.081276167
also known as,2.486976142
also,3.136214521
altered,2.229538678
alternate,2.497879634
alternately,3.301062003
alternative,2.646467517
alternatively,1.884572422
altogether,2.938908353
always,3.985550397
amateur,2.199518769
amateurish,2.002644029
amazing,4.251954166
amazingly,3.939945378
amber,5
ambient,3.372428782
ambiguous,1.973136076
ambiguously,3
ambitious,3.071328325
ambitiously,3.810376789
ambivalent,2.031526634
ambrosial,4.190661521
ameliorating,3
amenable,2.703070465
american,3.35210519
amiable,3.485932784
amiably,1.541570546
amicable,3.571169023
amicably,2
amiss,2.553419014
amok,2.486976142
amorous,3.350719146
ample,3.604838517
amply,4.177534576
amusing,3.118883284
amusingly,4.239024441
anachronous,4
anaemic,2
ancient,3.326451498
ancillary,3.447589599
and how,2.946829972
and so forth,3.866200925
and so on,2.509435427
and so,3.106199328
and then some,3.832423225
and then,2.336546224
andean,4.653333396
anemic,1.707604932
anew,1.869074287
angelic,4.208549836
angered,2.486976142
angled,2.646377168
angrily,1.358217521
angry,1.765015971
angular,4
animal,2.237207313
animated,3.65037317
annoyed,2.173731442
annoying,2.617438807
annoyingly,3.013644637
annual,4.131067685
annually,4.027373859
anomalous,4
anonymous,2.852020976
anonymously,2.698129085
anorexic,1.660202281
antebellum,4
anti,4.653333396
antibiotic,4.320261498
anticipated,3.155862158
anticipatory,3.755907946
anticlimactic,1.828238033
antiquated,1.610312902
antique,4.150947286
antiseptic,3.097499893
antisocial,4
antithetical,2
antsy,3.59918598
anxious,2.925633122
anxiously,2.613114536
any longer,2.031401004
any,5
any,2.880399193
anymore,2.310708714
anyplace,5
anyway,2.645784116
anyways,2.760261218
anywhere,3.357424193
apace,3
apart,2.749228599
apathetic,1.698814759
aphrodisiac,4.738693521
apiece,2.659706534
apologetic,2.308271947
apologetically,4.005345109
appallingly,1.441386304
apparent,2.524936719
apparently,2.153306565
appealing,3.126203382
appealingly,3.735299775
appetising,2.792840092
appetizing,2.464481153
applaudable,2
applicable,2.422201732
appreciable,4.55681825
appreciably,3.132673958
appreciative,3.906382581
apprehensive,4.168427065
approachable,3.918045474
appropriate,3.221307251
appropriately,3.399668767
approvingly,5
approximate,3.58834018
approximately,2.3397449
apt,2.415179572
aptly,3.628146538
aquatic,5
arabian,4.485148584
arabic,4.320261498
arbitrarily,3.27743112
arbitrary,1.797641566
arboreal,4
arcadian,4
archaeological,3
archaic,3
arched,4.414084574
archetypal,5
architectural,3.028885063
architecturally,2.599690083
arctic,3.05896794
ardent,4.485148584
arduous,2.676193028
argent,5
argentine,3.683933224
argentinian,3.639513426
arguably,3.48605126
argumentative,1.481727086
arid,5
armed,5
armenian,4.008921972
armored,1
aromatic,3.699529592
around the bend,3.674620964
around,2.806153345
arrayed,4
arresting,4.485148584
arrogant,1.831609863
arrogantly,1.657077088
artful,4.038636062
artfully,3.983247869
arthritic,5
articulately,3
artificial,2.289396386
artificially,2.569931947
artistic,3.830812237
artistically,4.371050323
artless,2
artlessly,3
arty,4.190661521
as a group,3.202807722
as a matter of fact,2.598815208
as far as possible,2.982145983
as follows,2.014511044
as if by magic,4.585657438
as it is,3.40781407
as it were,3.430459528
as luck would have it,4.158576089
as much as possible,3.605952736
