Word,ExpectedRate,avg
1000th,5,5
100th,4.23673995,4.23673995
105th,3,3
10th,3.801413623,3.801413623
11th,4.18064672,4.18064672
125th,4.320261498,4.320261498
12th,3.403004028,3.403004028
130th,5,5
13th,3.245642297,3.245642297
14th,3.102453991,3.102453991
155th,5,5
15th,3.842017103,3.842017103
16th,3.904947583,3.904947583
170th,5,5
17th,3.536657705,3.536657705
18th,3.367583912,3.367583912
19th,3.407814651,3.407814651
20th,3.824827299,3.824827299
21st,4.029878699,4.029878699
22nd,4.141645211,4.141645211
23rd,3.896704257,3.896704257
24th,3.781209992,3.781209992
25th,3.467641214,3.467641214
26th,3.453006517,3.453006517
27th,3.280874465,3.280874465
28th,3.666520293,3.666520293
29th,4.12458498,4.12458498
2d,3.519307285,3.519307285
2nd,2.908759644,2.908759644
3-dimensional,4,4
30th,3.57210338,3.57210338
31st,2.898101628,2.898101628
32nd,4.34287069,4.34287069
33rd,4.220351529,4.220351529
34th,3.532322358,3.532322358
35th,3.547214554,3.547214554
36th,3.628280729,3.628280729
37th,3.668866854,3.668866854
38th,4.605173189,4.605173189
39th,4.295557182,4.295557182
3rd,2.792256722,2.792256722
40th,3.715319931,3.715319931
43rd,4.537581676,4.537581676
44th,3.217122473,3.217122473
45th,2.852001123,2.852001123
46th,4.552721749,4.552721749
47th,3.065476241,3.065476241
48th,4.136656085,4.136656085
49th,4.057683714,4.057683714
4th,3.28289971,3.28289971
50th,3.631567316,3.631567316
55th,3.467612194,3.467612194
5th,3.708672188,3.708672188
60th,4.134622893,4.134622893
64th,2.168055077,2.168055077
65th,3.644694053,3.644694053
6th,3.479783359,3.479783359
70th,3.936084052,3.936084052
75th,4.6353568,4.6353568
7th,3.850098711,3.850098711
80th,3.710590374,3.710590374
85th,3.956096053,3.956096053
8th,3.313517547,3.313517547
90th,3.610339512,3.610339512
95th,1.557144754,1.557144754
9th,3.816165695,3.816165695
a bit,3.339033958,3.339033958
a couple of,2.973762805,2.973762805
a few,2.934749528,2.934749528
a good deal,3.167346759,3.167346759
a great deal,3.708983807,3.708983807
a hundred times,3.966582371,3.966582371
a la carte,3.080938935,3.080938935
a la mode,4.167271701,4.167271701
a little,3.421504737,3.421504737
a lot,2.990180363,2.990180363
a million times,3.891252852,3.891252852
a priori,2.267813823,2.267813823
a trifle,3.007299793,3.007299793
a-ok,3,3
a-okay,3,3
a-one,4.738693521,4.738693521
a.m.,2.449539037,2.449539037
aback,2.667041432,2.667041432
abbreviated,2.400911905,2.400911905
abhorrent,1,1
able-bodied,5,5
able,3.292244743,3.292244743
ably,4.00494835,4.00494835
abnormal,3.457220148,3.457220148
abnormally,1.971239299,1.971239299
abominable,1.596640531,1.596640531
abominably,3,3
about,4,3.264380425
above all,3.763525651,3.763525651
above-mentioned,3.760391657,3.760391657
above,3.005236704,3.629780656
abrasive,2.044906252,2.044906252
abridged,1.499150184,1.499150184
abroad,3.565376095,3.565376095
abrupt,2.169167036,2.169167036
abruptly,1.648635117,1.648635117
absent,2.161521638,2.161521638
absentminded,3.511014876,3.511014876
absentmindedly,4,4
absolute,3.767085887,3.767085887
absolutely,3.725197625,3.725197625
absorbent,1.285159438,1.285159438
absorbing,3.058870918,3.058870918
absorptive,3,3
abstract,3.956107302,3.956107302
absurd,2.203637789,2.203637789
absurdly,2.363821797,2.363821797
abundant,3.29989428,3.29989428
abundantly,4.414491919,4.414491919
abused,1.247261155,1.247261155
abusive,2.911527555,2.911527555
abuzz,4.127066041,4.127066041
abysmal,1.564856076,1.564856076
abysmally,1.923701443,1.923701443
academic,4.738693521,4.738693521
accented,3.69022668,3.69022668
acceptable,2.4251926,2.4251926
acceptably,2.989094564,2.989094564
