Word,Rating,Category,Count,Total,Corpus
.38 caliber/a,1,-0.5,1,3419923,Goodreads
.38 caliber/a,2,-0.25,0,3912625,Goodreads
.38 caliber/a,3,0,0,6011388,Goodreads
.38 caliber/a,4,0.25,0,10187257,Goodreads
.38 caliber/a,5,0.5,0,16202230,Goodreads
1000th/a,1,-0.5,1,3419923,Goodreads
1000th/a,2,-0.25,1,3912625,Goodreads
1000th/a,3,0,0,6011388,Goodreads
1000th/a,4,0.25,0,10187257,Goodreads
1000th/a,5,0.5,0,16202230,Goodreads
100th/a,1,-0.5,5,3419923,Goodreads
100th/a,2,-0.25,2,3912625,Goodreads
100th/a,3,0,4,6011388,Goodreads
100th/a,4,0.25,0,10187257,Goodreads
100th/a,5,0.5,4,16202230,Goodreads
101st/a,1,-0.5,0,3419923,Goodreads
101st/a,2,-0.25,0,3912625,Goodreads
101st/a,3,0,1,6011388,Goodreads
101st/a,4,0.25,0,10187257,Goodreads
101st/a,5,0.5,0,16202230,Goodreads
10th/a,1,-0.5,28,3419923,Goodreads
10th/a,2,-0.25,24,3912625,Goodreads
10th/a,3,0,54,6011388,Goodreads
10th/a,4,0.25,68,10187257,Goodreads
10th/a,5,0.5,101,16202230,Goodreads
115th/a,1,-0.5,0,3419923,Goodreads
115th/a,2,-0.25,0,3912625,Goodreads
115th/a,3,0,0,6011388,Goodreads
115th/a,4,0.25,1,10187257,Goodreads
115th/a,5,0.5,0,16202230,Goodreads
11th/a,1,-0.5,22,3419923,Goodreads
11th/a,2,-0.25,15,3912625,Goodreads
11th/a,3,0,29,6011388,Goodreads
11th/a,4,0.25,47,10187257,Goodreads
11th/a,5,0.5,71,16202230,Goodreads
120th/a,1,-0.5,0,3419923,Goodreads
120th/a,2,-0.25,1,3912625,Goodreads
120th/a,3,0,0,6011388,Goodreads
120th/a,4,0.25,0,10187257,Goodreads
120th/a,5,0.5,0,16202230,Goodreads
12th/a,1,-0.5,3,3419923,Goodreads
12th/a,2,-0.25,10,3912625,Goodreads
12th/a,3,0,18,6011388,Goodreads
12th/a,4,0.25,20,10187257,Goodreads
12th/a,5,0.5,29,16202230,Goodreads
13th/a,1,-0.5,0,3419923,Goodreads
13th/a,2,-0.25,0,3912625,Goodreads
13th/a,3,0,5,6011388,Goodreads
13th/a,4,0.25,3,10187257,Goodreads
13th/a,5,0.5,14,16202230,Goodreads
14th/a,1,-0.5,2,3419923,Goodreads
14th/a,2,-0.25,1,3912625,Goodreads
14th/a,3,0,1,6011388,Goodreads
14th/a,4,0.25,3,10187257,Goodreads
14th/a,5,0.5,4,16202230,Goodreads
150th/a,1,-0.5,0,3419923,Goodreads
150th/a,2,-0.25,0,3912625,Goodreads
150th/a,3,0,0,6011388,Goodreads
150th/a,4,0.25,0,10187257,Goodreads
150th/a,5,0.5,3,16202230,Goodreads
15th/a,1,-0.5,6,3419923,Goodreads
15th/a,2,-0.25,4,3912625,Goodreads
15th/a,3,0,9,6011388,Goodreads
15th/a,4,0.25,11,10187257,Goodreads
15th/a,5,0.5,12,16202230,Goodreads
16th/a,1,-0.5,1,3419923,Goodreads
16th/a,2,-0.25,1,3912625,Goodreads
16th/a,3,0,2,6011388,Goodreads
16th/a,4,0.25,8,10187257,Goodreads
16th/a,5,0.5,5,16202230,Goodreads
17th/a,1,-0.5,3,3419923,Goodreads
17th/a,2,-0.25,3,3912625,Goodreads
17th/a,3,0,7,6011388,Goodreads
17th/a,4,0.25,3,10187257,Goodreads
17th/a,5,0.5,10,16202230,Goodreads
18th/a,1,-0.5,8,3419923,Goodreads
18th/a,2,-0.25,7,3912625,Goodreads
18th/a,3,0,21,6011388,Goodreads
18th/a,4,0.25,26,10187257,Goodreads
18th/a,5,0.5,47,16202230,Goodreads
19th/a,1,-0.5,19,3419923,Goodreads
19th/a,2,-0.25,27,3912625,Goodreads
19th/a,3,0,49,6011388,Goodreads
19th/a,4,0.25,86,10187257,Goodreads
19th/a,5,0.5,94,16202230,Goodreads
2-dimensional/a,1,-0.5,5,3419923,Goodreads
2-dimensional/a,2,-0.25,5,3912625,Goodreads
2-dimensional/a,3,0,4,6011388,Goodreads
2-dimensional/a,4,0.25,3,10187257,Goodreads
2-dimensional/a,5,0.5,1,16202230,Goodreads
200th/a,1,-0.5,0,3419923,Goodreads
200th/a,2,-0.25,2,3912625,Goodreads
200th/a,3,0,1,6011388,Goodreads
200th/a,4,0.25,0,10187257,Goodreads
200th/a,5,0.5,0,16202230,Goodreads
