,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
0,.22 caliber/a,1,-0.5,0,3419923,Amazon/Tripadvisor,0.0,0.0
1,.22 caliber/a,2,-0.25,0,3912625,Amazon/Tripadvisor,0.0,0.0
2,.22 caliber/a,3,0.0,0,6011388,Amazon/Tripadvisor,0.0,0.0
3,.22 caliber/a,4,0.25,0,10187257,Amazon/Tripadvisor,0.0,0.0
4,.22 caliber/a,5,0.5,1,16202230,Amazon/Tripadvisor,6.17198990509e-08,1.0
5,100th/a,1,-0.5,1,3419923,Amazon/Tripadvisor,2.92404244189e-07,0.221537864784
6,100th/a,2,-0.25,0,3912625,Amazon/Tripadvisor,0.0,0.0
7,100th/a,3,0.0,1,6011388,Amazon/Tripadvisor,1.66350932597e-07,0.126034526327
8,100th/a,4,0.25,5,10187257,Amazon/Tripadvisor,4.90809253168e-07,0.371857919725
9,100th/a,5,0.5,6,16202230,Amazon/Tripadvisor,3.70319394306e-07,0.280569689164
10,10th/a,1,-0.5,13,3419923,Amazon/Tripadvisor,3.80125517446e-06,0.073163723855
11,10th/a,2,-0.25,46,3912625,Amazon/Tripadvisor,1.17568128814e-05,0.226286363738
12,10th/a,3,0.0,49,6011388,Amazon/Tripadvisor,8.15119569723e-06,0.156888133974
13,10th/a,4,0.25,162,10187257,Amazon/Tripadvisor,1.59022198026e-05,0.306074063677
14,10th/a,5,0.5,200,16202230,Amazon/Tripadvisor,1.23439798102e-05,0.237587714756
15,11th/a,1,-0.5,13,3419923,Amazon/Tripadvisor,3.80125517446e-06,0.131256269665
16,11th/a,2,-0.25,20,3912625,Amazon/Tripadvisor,5.11165777451e-06,0.176504102065
17,11th/a,3,0.0,23,6011388,Amazon/Tripadvisor,3.82607144972e-06,0.132113168655
18,11th/a,4,0.25,81,10187257,Amazon/Tripadvisor,7.95110990132e-06,0.274549583611
19,11th/a,5,0.5,134,16202230,Amazon/Tripadvisor,8.27046647283e-06,0.285576876004
20,12th/a,1,-0.5,14,3419923,Amazon/Tripadvisor,4.09365941865e-06,0.114507032404
21,12th/a,2,-0.25,22,3912625,Amazon/Tripadvisor,5.62282355196e-06,0.157280509398
22,12th/a,3,0.0,27,6011388,Amazon/Tripadvisor,4.49147518011e-06,0.125634656281
23,12th/a,4,0.25,122,10187257,Amazon/Tripadvisor,1.19757457773e-05,0.33498319463
24,12th/a,5,0.5,155,16202230,Amazon/Tripadvisor,9.56658435289e-06,0.267594607286
25,13th/a,1,-0.5,6,3419923,Amazon/Tripadvisor,1.75442546513e-06,0.207203207366
26,13th/a,2,-0.25,5,3912625,Amazon/Tripadvisor,1.27791444363e-06,0.150925745619
27,13th/a,3,0.0,5,6011388,Amazon/Tripadvisor,8.31754662983e-07,0.0982328616042
28,13th/a,4,0.25,23,10187257,Amazon/Tripadvisor,2.25772256457e-06,0.266644189804
29,13th/a,5,0.5,38,16202230,Amazon/Tripadvisor,2.34535616394e-06,0.276993995607
30,145th/a,1,-0.5,0,3419923,Amazon/Tripadvisor,0.0,0.0
31,145th/a,2,-0.25,0,3912625,Amazon/Tripadvisor,0.0,0.0
32,145th/a,3,0.0,0,6011388,Amazon/Tripadvisor,0.0,0.0
33,145th/a,4,0.25,1,10187257,Amazon/Tripadvisor,9.81618506336e-08,1.0
34,145th/a,5,0.5,0,16202230,Amazon/Tripadvisor,0.0,0.0
35,14th/a,1,-0.5,16,3419923,Amazon/Tripadvisor,4.67846790703e-06,0.107590466011
36,14th/a,2,-0.25,32,3912625,Amazon/Tripadvisor,8.17865243922e-06,0.188084014846
