,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
0,.38 caliber/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,1.0
1,.38 caliber/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
2,.38 caliber/a,3,0.0,0,6011388,Goodreads,0.0,0.0
3,.38 caliber/a,4,0.25,0,10187257,Goodreads,0.0,0.0
4,.38 caliber/a,5,0.5,0,16202230,Goodreads,0.0,0.0
5,1000th/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,0.533596916106
6,1000th/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,0.466403083894
7,1000th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
8,1000th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
9,1000th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
10,100th/a,1,-0.5,5,3419923,Goodreads,1.46202122095e-06,0.506683852641
11,100th/a,2,-0.25,2,3912625,Goodreads,5.11165777451e-07,0.177151632101
12,100th/a,3,0.0,4,6011388,Goodreads,6.65403730386e-07,0.230604946661
13,100th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
14,100th/a,5,0.5,4,16202230,Goodreads,2.46879596204e-07,0.0855595685964
15,101st/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
16,101st/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
17,101st/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,1.0
18,101st/a,4,0.25,0,10187257,Goodreads,0.0,0.0
19,101st/a,5,0.5,0,16202230,Goodreads,0.0,0.0
20,10th/a,1,-0.5,28,3419923,Goodreads,8.1873188373e-06,0.226087998128
21,10th/a,2,-0.25,24,3912625,Goodreads,6.13398932941e-06,0.169386510479
22,10th/a,3,0.0,54,6011388,Goodreads,8.98295036022e-06,0.248058895053
23,10th/a,4,0.25,68,10187257,Goodreads,6.67500584308e-06,0.184326363556
24,10th/a,5,0.5,101,16202230,Goodreads,6.23370980414e-06,0.172140232784
25,115th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
26,115th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
27,115th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
28,115th/a,4,0.25,1,10187257,Goodreads,9.81618506336e-08,1.0
29,115th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
30,11th/a,1,-0.5,22,3419923,Goodreads,6.43289337216e-06,0.267074270191
31,11th/a,2,-0.25,15,3912625,Goodreads,3.83374333088e-06,0.159165424166
32,11th/a,3,0.0,29,6011388,Goodreads,4.8241770453e-06,0.200285235446
33,11th/a,4,0.25,47,10187257,Goodreads,4.61360697978e-06,0.191543003402
