,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
0,1000th/a,1,-0.5,0,699695,OpenTable,0,0
1,1000th/a,2,-0.25,0,2507147,OpenTable,0,0
2,1000th/a,3,0,0,4207700,OpenTable,0,0
3,1000th/a,4,0.25,0,7789649,OpenTable,0,0
4,1000th/a,5,0.5,1,8266564,OpenTable,1.21E-07,1
5,100th/a,1,-0.5,0,699695,OpenTable,0,0
6,100th/a,2,-0.25,0,2507147,OpenTable,0,0
7,100th/a,3,0,2,4207700,OpenTable,4.75E-07,0.183446773
8,100th/a,4,0.25,8,7789649,OpenTable,1.03E-06,0.396366504
9,100th/a,5,0.5,9,8266564,OpenTable,1.09E-06,0.420186723
10,105th/a,1,-0.5,0,699695,OpenTable,0,0
11,105th/a,2,-0.25,0,2507147,OpenTable,0,0
12,105th/a,3,0,1,4207700,OpenTable,2.38E-07,1
13,105th/a,4,0.25,0,7789649,OpenTable,0,0
14,105th/a,5,0.5,0,8266564,OpenTable,0,0
15,10th/a,1,-0.5,4,699695,OpenTable,5.72E-06,0.113958291
16,10th/a,2,-0.25,14,2507147,OpenTable,5.58E-06,0.111312245
17,10th/a,3,0,21,4207700,OpenTable,4.99E-06,0.099487664
18,10th/a,4,0.25,82,7789649,OpenTable,1.05E-05,0.209841155
19,10th/a,5,0.5,193,8266564,OpenTable,2.33E-05,0.465400646
20,11th/a,1,-0.5,0,699695,OpenTable,0,0
21,11th/a,2,-0.25,4,2507147,OpenTable,1.60E-06,0.126496363
22,11th/a,3,0,6,4207700,OpenTable,1.43E-06,0.113058789
23,11th/a,4,0.25,21,7789649,OpenTable,2.70E-06,0.213746618
24,11th/a,5,0.5,57,8266564,OpenTable,6.90E-06,0.546698231
25,125th/a,1,-0.5,0,699695,OpenTable,0,0
26,125th/a,2,-0.25,0,2507147,OpenTable,0,0
27,125th/a,3,0,0,4207700,OpenTable,0,0
28,125th/a,4,0.25,2,7789649,OpenTable,2.57E-07,0.679738502
29,125th/a,5,0.5,1,8266564,OpenTable,1.21E-07,0.320261498
30,12th/a,1,-0.5,3,699695,OpenTable,4.29E-06,0.2082355
31,12th/a,2,-0.25,6,2507147,OpenTable,2.39E-06,0.116228795
32,12th/a,3,0,8,4207700,OpenTable,1.90E-06,0.092339497
33,12th/a,4,0.25,37,7789649,OpenTable,4.75E-06,0.230688593
34,12th/a,5,0.5,60,8266564,OpenTable,7.26E-06,0.352507615
35,130th/a,1,-0.5,0,699695,OpenTable,0,0
36,130th/a,2,-0.25,0,2507147,OpenTable,0,0
37,130th/a,3,0,0,4207700,OpenTable,0,0
38,130th/a,4,0.25,0,7789649,OpenTable,0,0
39,130th/a,5,0.5,1,8266564,OpenTable,1.21E-07,1
40,13th/a,1,-0.5,2,699695,OpenTable,2.86E-06,0.159895664
41,13th/a,2,-0.25,10,2507147,OpenTable,3.99E-06,0.223118542
42,13th/a,3,0,10,4207700,OpenTable,2.38E-06,0.132944597
43,13th/a,4,0.25,25,7789649,OpenTable,3.21E-06,0.179530227
44,13th/a,5,0.5,45,8266564,OpenTable,5.44E-06,0.30451097
45,14th/a,1,-0.5,4,699695,OpenTable,5.72E-06,0.207755836
46,14th/a,2,-0.25,12,2507147,OpenTable,4.79E-06,0.1739416
47,14th/a,3,0,21,4207700,OpenTable,4.99E-06,0.18137463
48,14th/a,4,0.25,39,7789649,OpenTable,5.01E-06,0.181948605
49,14th/a,5,0.5,58,8266564,OpenTable,7.02E-06,0.254979329
50,155th/a,1,-0.5,0,699695,OpenTable,0,0
51,155th/a,2,-0.25,0,2507147,OpenTable,0,0
52,155th/a,3,0,0,4207700,OpenTable,0,0
53,155th/a,4,0.25,0,7789649,OpenTable,0,0
54,155th/a,5,0.5,1,8266564,OpenTable,1.21E-07,1
55,15th/a,1,-0.5,2,699695,OpenTable,2.86E-06,0.111547351
56,15th/a,2,-0.25,8,2507147,OpenTable,3.19E-06,0.124522613
57,15th/a,3,0,5,4207700,OpenTable,1.19E-06,0.046372795
58,15th/a,4,0.25,49,7789649,OpenTable,6.29E-06,0.245480064
59,15th/a,5,0.5,100,8266564,OpenTable,1.21E-05,0.472077177
60,16th/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.046625098
61,16th/a,2,-0.25,9,2507147,OpenTable,3.59E-06,0.117109261
62,16th/a,3,0,20,4207700,OpenTable,4.75E-06,0.15506499
63,16th/a,4,0.25,59,7789649,OpenTable,7.57E-06,0.247094257
64,16th/a,5,0.5,110,8266564,OpenTable,1.33E-05,0.434106393
65,170th/a,1,-0.5,0,699695,OpenTable,0,0
66,170th/a,2,-0.25,0,2507147,OpenTable,0,0
67,170th/a,3,0,0,4207700,OpenTable,0,0
68,170th/a,4,0.25,0,7789649,OpenTable,0,0
69,170th/a,5,0.5,1,8266564,OpenTable,1.21E-07,1
70,17th/a,1,-0.5,3,699695,OpenTable,4.29E-06,0.203360526
71,17th/a,2,-0.25,6,2507147,OpenTable,2.39E-06,0.113507779
72,17th/a,3,0,4,4207700,OpenTable,9.51E-07,0.045088875
73,17th/a,4,0.25,36,7789649,OpenTable,4.62E-06,0.219199109
74,17th/a,5,0.5,73,8266564,OpenTable,8.83E-06,0.418843712
75,18th/a,1,-0.5,6,699695,OpenTable,8.58E-06,0.234853054
76,18th/a,2,-0.25,8,2507147,OpenTable,3.19E-06,0.087390439
77,18th/a,3,0,15,4207700,OpenTable,3.56E-06,0.097633807
78,18th/a,4,0.25,67,7789649,OpenTable,8.60E-06,0.235564936
79,18th/a,5,0.5,104,8266564,OpenTable,1.26E-05,0.344557763
80,19th/a,1,-0.5,3,699695,OpenTable,4.29E-06,0.209998764
81,19th/a,2,-0.25,5,2507147,OpenTable,1.99E-06,0.097677483
82,19th/a,3,0,10,4207700,OpenTable,2.38E-06,0.116401744
83,19th/a,4,0.25,36,7789649,OpenTable,4.62E-06,0.226354361
84,19th/a,5,0.5,59,8266564,OpenTable,7.14E-06,0.349567649
85,20th/a,1,-0.5,4,699695,OpenTable,5.72E-06,0.117542512
86,20th/a,2,-0.25,11,2507147,OpenTable,4.39E-06,0.090210405
87,20th/a,3,0,25,4207700,OpenTable,5.94E-06,0.122162802
