,Unnamed: 0,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities,ExpectedRate
0,0,1000th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,5.0
1,1,1000th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,5.0
2,2,1000th/a,3,0.0,0,4207700,OpenTable,0.0,0.0,5.0
3,3,1000th/a,4,0.25,0,7789649,OpenTable,0.0,0.0,5.0
4,4,1000th/a,5,0.5,1,8266564,OpenTable,1.21e-07,1.0,5.0
5,5,100th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.23673995
6,6,100th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.23673995
7,7,100th/a,3,0.0,2,4207700,OpenTable,4.75e-07,0.183446773,4.23673995
8,8,100th/a,4,0.25,8,7789649,OpenTable,1.03e-06,0.396366504,4.23673995
9,9,100th/a,5,0.5,9,8266564,OpenTable,1.09e-06,0.420186723,4.23673995
10,10,105th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,3.0
11,11,105th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,3.0
12,12,105th/a,3,0.0,1,4207700,OpenTable,2.38e-07,1.0,3.0
13,13,105th/a,4,0.25,0,7789649,OpenTable,0.0,0.0,3.0
14,14,105th/a,5,0.5,0,8266564,OpenTable,0.0,0.0,3.0
15,15,10th/a,1,-0.5,4,699695,OpenTable,5.72e-06,0.113958291,3.801413623
16,16,10th/a,2,-0.25,14,2507147,OpenTable,5.58e-06,0.111312245,3.801413623
17,17,10th/a,3,0.0,21,4207700,OpenTable,4.99e-06,0.099487664,3.801413623
18,18,10th/a,4,0.25,82,7789649,OpenTable,1.05e-05,0.209841155,3.801413623
19,19,10th/a,5,0.5,193,8266564,OpenTable,2.33e-05,0.465400646,3.801413623
20,20,11th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.18064672
21,21,11th/a,2,-0.25,4,2507147,OpenTable,1.6e-06,0.126496363,4.18064672
22,22,11th/a,3,0.0,6,4207700,OpenTable,1.43e-06,0.113058789,4.18064672
23,23,11th/a,4,0.25,21,7789649,OpenTable,2.7e-06,0.213746618,4.18064672
24,24,11th/a,5,0.5,57,8266564,OpenTable,6.9e-06,0.546698231,4.18064672
25,25,125th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.320261498
26,26,125th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.320261498
27,27,125th/a,3,0.0,0,4207700,OpenTable,0.0,0.0,4.320261498
28,28,125th/a,4,0.25,2,7789649,OpenTable,2.57e-07,0.679738502,4.320261498
29,29,125th/a,5,0.5,1,8266564,OpenTable,1.21e-07,0.320261498,4.320261498
30,30,12th/a,1,-0.5,3,699695,OpenTable,4.29e-06,0.2082355,3.403004028
31,31,12th/a,2,-0.25,6,2507147,OpenTable,2.39e-06,0.116228795,3.403004028
32,32,12th/a,3,0.0,8,4207700,OpenTable,1.9e-06,0.092339497,3.403004028
33,33,12th/a,4,0.25,37,7789649,OpenTable,4.75e-06,0.230688593,3.403004028
34,34,12th/a,5,0.5,60,8266564,OpenTable,7.26e-06,0.352507615,3.403004028
35,35,130th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,5.0
36,36,130th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,5.0
37,37,130th/a,3,0.0,0,4207700,OpenTable,0.0,0.0,5.0
38,38,130th/a,4,0.25,0,7789649,OpenTable,0.0,0.0,5.0
39,39,130th/a,5,0.5,1,8266564,OpenTable,1.21e-07,1.0,5.0
40,40,13th/a,1,-0.5,2,699695,OpenTable,2.86e-06,0.159895664,3.245642297
41,41,13th/a,2,-0.25,10,2507147,OpenTable,3.99e-06,0.223118542,3.245642297
42,42,13th/a,3,0.0,10,4207700,OpenTable,2.38e-06,0.132944597,3.245642297
43,43,13th/a,4,0.25,25,7789649,OpenTable,3.21e-06,0.179530227,3.245642297
44,44,13th/a,5,0.5,45,8266564,OpenTable,5.44e-06,0.30451097,3.245642297
45,45,14th/a,1,-0.5,4,699695,OpenTable,5.72e-06,0.207755836,3.102453991
46,46,14th/a,2,-0.25,12,2507147,OpenTable,4.79e-06,0.1739416,3.102453991
47,47,14th/a,3,0.0,21,4207700,OpenTable,4.99e-06,0.18137463,3.102453991
48,48,14th/a,4,0.25,39,7789649,OpenTable,5.01e-06,0.181948605,3.102453991
49,49,14th/a,5,0.5,58,8266564,OpenTable,7.02e-06,0.254979329,3.102453991
50,50,155th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,5.0
51,51,155th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,5.0
52,52,155th/a,3,0.0,0,4207700,OpenTable,0.0,0.0,5.0
53,53,155th/a,4,0.25,0,7789649,OpenTable,0.0,0.0,5.0
54,54,155th/a,5,0.5,1,8266564,OpenTable,1.21e-07,1.0,5.0
55,55,15th/a,1,-0.5,2,699695,OpenTable,2.86e-06,0.111547351,3.842017103
56,56,15th/a,2,-0.25,8,2507147,OpenTable,3.19e-06,0.124522613,3.842017103
57,57,15th/a,3,0.0,5,4207700,OpenTable,1.19e-06,0.046372795,3.842017103
58,58,15th/a,4,0.25,49,7789649,OpenTable,6.29e-06,0.245480064,3.842017103
59,59,15th/a,5,0.5,100,8266564,OpenTable,1.21e-05,0.472077177,3.842017103
60,60,16th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.046625098,3.904947583
61,61,16th/a,2,-0.25,9,2507147,OpenTable,3.59e-06,0.117109261,3.904947583
62,62,16th/a,3,0.0,20,4207700,OpenTable,4.75e-06,0.15506499,3.904947583
63,63,16th/a,4,0.25,59,7789649,OpenTable,7.57e-06,0.247094257,3.904947583
64,64,16th/a,5,0.5,110,8266564,OpenTable,1.33e-05,0.434106393,3.904947583
65,65,170th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,5.0
66,66,170th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,5.0
67,67,170th/a,3,0.0,0,4207700,OpenTable,0.0,0.0,5.0
68,68,170th/a,4,0.25,0,7789649,OpenTable,0.0,0.0,5.0
69,69,170th/a,5,0.5,1,8266564,OpenTable,1.21e-07,1.0,5.0
70,70,17th/a,1,-0.5,3,699695,OpenTable,4.29e-06,0.203360526,3.536657705
71,71,17th/a,2,-0.25,6,2507147,OpenTable,2.39e-06,0.113507779,3.536657705
72,72,17th/a,3,0.0,4,4207700,OpenTable,9.51e-07,0.045088875,3.536657705
73,73,17th/a,4,0.25,36,7789649,OpenTable,4.62e-06,0.219199109,3.536657705
74,74,17th/a,5,0.5,73,8266564,OpenTable,8.83e-06,0.418843712,3.536657705
75,75,18th/a,1,-0.5,6,699695,OpenTable,8.58e-06,0.234853054,3.367583912
76,76,18th/a,2,-0.25,8,2507147,OpenTable,3.19e-06,0.087390439,3.367583912
77,77,18th/a,3,0.0,15,4207700,OpenTable,3.56e-06,0.097633807,3.367583912
78,78,18th/a,4,0.25,67,7789649,OpenTable,8.6e-06,0.235564936,3.367583912
79,79,18th/a,5,0.5,104,8266564,OpenTable,1.26e-05,0.344557763,3.367583912
80,80,19th/a,1,-0.5,3,699695,OpenTable,4.29e-06,0.209998764,3.407814651
81,81,19th/a,2,-0.25,5,2507147,OpenTable,1.99e-06,0.097677483,3.407814651
82,82,19th/a,3,0.0,10,4207700,OpenTable,2.38e-06,0.116401744,3.407814651
83,83,19th/a,4,0.25,36,7789649,OpenTable,4.62e-06,0.226354361,3.407814651
84,84,19th/a,5,0.5,59,8266564,OpenTable,7.14e-06,0.349567649,3.407814651
85,85,20th/a,1,-0.5,4,699695,OpenTable,5.72e-06,0.117542512,3.824827299
