Word,Rating,Category,Count,Total,Corpus
.22 caliber/a,1,-0.5,0,3419923,Amazon/Tripadvisor
.22 caliber/a,2,-0.25,0,3912625,Amazon/Tripadvisor
.22 caliber/a,3,0,0,6011388,Amazon/Tripadvisor
.22 caliber/a,4,0.25,0,10187257,Amazon/Tripadvisor
.22 caliber/a,5,0.5,1,16202230,Amazon/Tripadvisor
100th/a,1,-0.5,1,3419923,Amazon/Tripadvisor
100th/a,2,-0.25,0,3912625,Amazon/Tripadvisor
100th/a,3,0,1,6011388,Amazon/Tripadvisor
100th/a,4,0.25,5,10187257,Amazon/Tripadvisor
100th/a,5,0.5,6,16202230,Amazon/Tripadvisor
10th/a,1,-0.5,13,3419923,Amazon/Tripadvisor
10th/a,2,-0.25,46,3912625,Amazon/Tripadvisor
10th/a,3,0,49,6011388,Amazon/Tripadvisor
10th/a,4,0.25,162,10187257,Amazon/Tripadvisor
10th/a,5,0.5,200,16202230,Amazon/Tripadvisor
11th/a,1,-0.5,13,3419923,Amazon/Tripadvisor
11th/a,2,-0.25,20,3912625,Amazon/Tripadvisor
11th/a,3,0,23,6011388,Amazon/Tripadvisor
11th/a,4,0.25,81,10187257,Amazon/Tripadvisor
11th/a,5,0.5,134,16202230,Amazon/Tripadvisor
12th/a,1,-0.5,14,3419923,Amazon/Tripadvisor
12th/a,2,-0.25,22,3912625,Amazon/Tripadvisor
12th/a,3,0,27,6011388,Amazon/Tripadvisor
12th/a,4,0.25,122,10187257,Amazon/Tripadvisor
12th/a,5,0.5,155,16202230,Amazon/Tripadvisor
13th/a,1,-0.5,6,3419923,Amazon/Tripadvisor
13th/a,2,-0.25,5,3912625,Amazon/Tripadvisor
13th/a,3,0,5,6011388,Amazon/Tripadvisor
13th/a,4,0.25,23,10187257,Amazon/Tripadvisor
13th/a,5,0.5,38,16202230,Amazon/Tripadvisor
145th/a,1,-0.5,0,3419923,Amazon/Tripadvisor
145th/a,2,-0.25,0,3912625,Amazon/Tripadvisor
145th/a,3,0,0,6011388,Amazon/Tripadvisor
145th/a,4,0.25,1,10187257,Amazon/Tripadvisor
145th/a,5,0.5,0,16202230,Amazon/Tripadvisor
14th/a,1,-0.5,16,3419923,Amazon/Tripadvisor
14th/a,2,-0.25,32,3912625,Amazon/Tripadvisor
14th/a,3,0,35,6011388,Amazon/Tripadvisor
14th/a,4,0.25,137,10187257,Amazon/Tripadvisor
14th/a,5,0.5,184,16202230,Amazon/Tripadvisor
150th/a,1,-0.5,0,3419923,Amazon/Tripadvisor
150th/a,2,-0.25,0,3912625,Amazon/Tripadvisor
150th/a,3,0,0,6011388,Amazon/Tripadvisor
150th/a,4,0.25,0,10187257,Amazon/Tripadvisor
150th/a,5,0.5,1,16202230,Amazon/Tripadvisor
15th/a,1,-0.5,8,3419923,Amazon/Tripadvisor
15th/a,2,-0.25,12,3912625,Amazon/Tripadvisor
15th/a,3,0,23,6011388,Amazon/Tripadvisor
15th/a,4,0.25,73,10187257,Amazon/Tripadvisor
15th/a,5,0.5,106,16202230,Amazon/Tripadvisor
16th/a,1,-0.5,15,3419923,Amazon/Tripadvisor
16th/a,2,-0.25,9,3912625,Amazon/Tripadvisor
16th/a,3,0,17,6011388,Amazon/Tripadvisor
16th/a,4,0.25,94,10187257,Amazon/Tripadvisor
16th/a,5,0.5,135,16202230,Amazon/Tripadvisor
17th/a,1,-0.5,6,3419923,Amazon/Tripadvisor
17th/a,2,-0.25,19,3912625,Amazon/Tripadvisor
17th/a,3,0,29,6011388,Amazon/Tripadvisor
17th/a,4,0.25,85,10187257,Amazon/Tripadvisor
17th/a,5,0.5,142,16202230,Amazon/Tripadvisor
18th/a,1,-0.5,10,3419923,Amazon/Tripadvisor
18th/a,2,-0.25,18,3912625,Amazon/Tripadvisor
18th/a,3,0,19,6011388,Amazon/Tripadvisor
18th/a,4,0.25,79,10187257,Amazon/Tripadvisor
18th/a,5,0.5,146,16202230,Amazon/Tripadvisor
19th/a,1,-0.5,9,3419923,Amazon/Tripadvisor
19th/a,2,-0.25,22,3912625,Amazon/Tripadvisor
19th/a,3,0,38,6011388,Amazon/Tripadvisor
19th/a,4,0.25,134,10187257,Amazon/Tripadvisor
19th/a,5,0.5,207,16202230,Amazon/Tripadvisor
2-dimensional/a,1,-0.5,1,3419923,Amazon/Tripadvisor
2-dimensional/a,2,-0.25,0,3912625,Amazon/Tripadvisor
2-dimensional/a,3,0,0,6011388,Amazon/Tripadvisor
2-dimensional/a,4,0.25,0,10187257,Amazon/Tripadvisor
2-dimensional/a,5,0.5,0,16202230,Amazon/Tripadvisor
200th/a,1,-0.5,0,3419923,Amazon/Tripadvisor
200th/a,2,-0.25,1,3912625,Amazon/Tripadvisor
200th/a,3,0,0,6011388,Amazon/Tripadvisor
200th/a,4,0.25,0,10187257,Amazon/Tripadvisor
200th/a,5,0.5,0,16202230,Amazon/Tripadvisor
20th/a,1,-0.5,19,3419923,Amazon/Tripadvisor
20th/a,2,-0.25,20,3912625,Amazon/Tripadvisor
20th/a,3,0,33,6011388,Amazon/Tripadvisor
20th/a,4,0.25,100,10187257,Amazon/Tripadvisor
20th/a,5,0.5,220,16202230,Amazon/Tripadvisor
21st/a,1,-0.5,11,3419923,Amazon/Tripadvisor
21st/a,2,-0.25,11,3912625,Amazon/Tripadvisor
21st/a,3,0,13,6011388,Amazon/Tripadvisor
21st/a,4,0.25,25,10187257,Amazon/Tripadvisor
21st/a,5,0.5,79,16202230,Amazon/Tripadvisor
22nd/a,1,-0.5,2,3419923,Amazon/Tripadvisor
22nd/a,2,-0.25,5,3912625,Amazon/Tripadvisor
22nd/a,3,0,11,6011388,Amazon/Tripadvisor
22nd/a,4,0.25,29,10187257,Amazon/Tripadvisor
22nd/a,5,0.5,48,16202230,Amazon/Tripadvisor
23rd/a,1,-0.5,1,3419923,Amazon/Tripadvisor
23rd/a,2,-0.25,2,3912625,Amazon/Tripadvisor
23rd/a,3,0,9,6011388,Amazon/Tripadvisor
23rd/a,4,0.25,29,10187257,Amazon/Tripadvisor
23rd/a,5,0.5,60,16202230,Amazon/Tripadvisor
24th/a,1,-0.5,3,3419923,Amazon/Tripadvisor
24th/a,2,-0.25,9,3912625,Amazon/Tripadvisor
24th/a,3,0,22,6011388,Amazon/Tripadvisor
24th/a,4,0.25,59,10187257,Amazon/Tripadvisor
24th/a,5,0.5,79,16202230,Amazon/Tripadvisor
25th/a,1,-0.5,5,3419923,Amazon/Tripadvisor
25th/a,2,-0.25,14,3912625,Amazon/Tripadvisor
25th/a,3,0,14,6011388,Amazon/Tripadvisor
25th/a,4,0.25,60,10187257,Amazon/Tripadvisor
25th/a,5,0.5,94,16202230,Amazon/Tripadvisor
26th/a,1,-0.5,1,3419923,Amazon/Tripadvisor
26th/a,2,-0.25,9,3912625,Amazon/Tripadvisor
26th/a,3,0,13,6011388,Amazon/Tripadvisor
26th/a,4,0.25,36,10187257,Amazon/Tripadvisor
26th/a,5,0.5,64,16202230,Amazon/Tripadvisor
27th/a,1,-0.5,6,3419923,Amazon/Tripadvisor
27th/a,2,-0.25,9,3912625,Amazon/Tripadvisor
27th/a,3,0,2,6011388,Amazon/Tripadvisor
27th/a,4,0.25,39,10187257,Amazon/Tripadvisor
27th/a,5,0.5,61,16202230,Amazon/Tripadvisor
28th/a,1,-0.5,3,3419923,Amazon/Tripadvisor
28th/a,2,-0.25,6,3912625,Amazon/Tripadvisor
28th/a,3,0,5,6011388,Amazon/Tripadvisor
28th/a,4,0.25,44,10187257,Amazon/Tripadvisor
28th/a,5,0.5,57,16202230,Amazon/Tripadvisor
