Word,Rating,Category,Count,Total,Corpus
1000th/a,1,-0.5,0,699695,OpenTable
1000th/a,2,-0.25,0,2507147,OpenTable
1000th/a,3,0,0,4207700,OpenTable
1000th/a,4,0.25,0,7789649,OpenTable
1000th/a,5,0.5,1,8266564,OpenTable
100th/a,1,-0.5,0,699695,OpenTable
100th/a,2,-0.25,0,2507147,OpenTable
100th/a,3,0,2,4207700,OpenTable
100th/a,4,0.25,8,7789649,OpenTable
100th/a,5,0.5,9,8266564,OpenTable
105th/a,1,-0.5,0,699695,OpenTable
105th/a,2,-0.25,0,2507147,OpenTable
105th/a,3,0,1,4207700,OpenTable
105th/a,4,0.25,0,7789649,OpenTable
105th/a,5,0.5,0,8266564,OpenTable
10th/a,1,-0.5,4,699695,OpenTable
10th/a,2,-0.25,14,2507147,OpenTable
10th/a,3,0,21,4207700,OpenTable
10th/a,4,0.25,82,7789649,OpenTable
10th/a,5,0.5,193,8266564,OpenTable
11th/a,1,-0.5,0,699695,OpenTable
11th/a,2,-0.25,4,2507147,OpenTable
11th/a,3,0,6,4207700,OpenTable
11th/a,4,0.25,21,7789649,OpenTable
11th/a,5,0.5,57,8266564,OpenTable
125th/a,1,-0.5,0,699695,OpenTable
125th/a,2,-0.25,0,2507147,OpenTable
125th/a,3,0,0,4207700,OpenTable
125th/a,4,0.25,2,7789649,OpenTable
125th/a,5,0.5,1,8266564,OpenTable
12th/a,1,-0.5,3,699695,OpenTable
12th/a,2,-0.25,6,2507147,OpenTable
12th/a,3,0,8,4207700,OpenTable
12th/a,4,0.25,37,7789649,OpenTable
12th/a,5,0.5,60,8266564,OpenTable
130th/a,1,-0.5,0,699695,OpenTable
130th/a,2,-0.25,0,2507147,OpenTable
130th/a,3,0,0,4207700,OpenTable
130th/a,4,0.25,0,7789649,OpenTable
130th/a,5,0.5,1,8266564,OpenTable
13th/a,1,-0.5,2,699695,OpenTable
13th/a,2,-0.25,10,2507147,OpenTable
13th/a,3,0,10,4207700,OpenTable
13th/a,4,0.25,25,7789649,OpenTable
13th/a,5,0.5,45,8266564,OpenTable
14th/a,1,-0.5,4,699695,OpenTable
14th/a,2,-0.25,12,2507147,OpenTable
14th/a,3,0,21,4207700,OpenTable
14th/a,4,0.25,39,7789649,OpenTable
14th/a,5,0.5,58,8266564,OpenTable
155th/a,1,-0.5,0,699695,OpenTable
155th/a,2,-0.25,0,2507147,OpenTable
155th/a,3,0,0,4207700,OpenTable
155th/a,4,0.25,0,7789649,OpenTable
