,word,score
0,2-faced,-1
1,2-faces,-1
2,abnormal,-1
3,abolish,-1
4,abominable,-1
5,abominably,-1
6,abominate,-1
7,abomination,-1
8,abort,-1
9,aborted,-1
10,aborts,-1
11,abrade,-1
12,abrasive,-1
13,abrupt,-1
14,abruptly,-1
15,abscond,-1
16,absence,-1
17,absent-minded,-1
18,absentee,-1
19,absurd,-1
20,absurdity,-1
21,absurdly,-1
22,absurdness,-1
23,abuse,-1
24,abused,-1
25,abuses,-1
26,abusive,-1
27,abysmal,-1
28,abysmally,-1
29,abyss,-1
30,accidental,-1
31,accost,-1
32,accursed,-1
33,accusation,-1
34,accusations,-1
35,accuse,-1
36,accuses,-1
37,accusing,-1
38,accusingly,-1
39,acerbate,-1
40,acerbic,-1
41,acerbically,-1
42,ache,-1
43,ached,-1
44,aches,-1
45,achey,-1
46,aching,-1
47,acrid,-1
48,acridly,-1
49,acridness,-1
50,acrimonious,-1
51,acrimoniously,-1
52,acrimony,-1
53,adamant,-1
54,adamantly,-1
55,addict,-1
56,addicted,-1
57,addicting,-1
58,addicts,-1
59,admonish,-1
60,admonisher,-1
61,admonishingly,-1
62,admonishment,-1
63,admonition,-1
64,adulterate,-1
65,adulterated,-1
66,adulteration,-1
67,adulterier,-1
68,adversarial,-1
69,adversary,-1
70,adverse,-1
71,adversity,-1
72,afflict,-1
73,affliction,-1
74,afflictive,-1
75,affront,-1
76,afraid,-1
77,aggravate,-1
78,aggravating,-1
79,aggravation,-1
80,aggression,-1
81,aggressive,-1
82,aggressiveness,-1
83,aggressor,-1
84,aggrieve,-1
85,aggrieved,-1
86,aggrivation,-1
87,aghast,-1
88,agonies,-1
89,agonize,-1
90,agonizing,-1
91,agonizingly,-1
92,agony,-1
93,aground,-1
94,ail,-1
95,ailing,-1
96,ailment,-1
97,aimless,-1
98,alarm,-1
99,alarmed,-1
100,alarming,-1
101,alarmingly,-1
102,alienate,-1
103,alienated,-1
104,alienation,-1
105,allegation,-1
106,allegations,-1
107,allege,-1
108,allergic,-1
109,allergies,-1
110,allergy,-1
111,aloof,-1
112,altercation,-1
113,ambiguity,-1
114,ambiguous,-1
115,ambivalence,-1
116,ambivalent,-1
117,ambush,-1
118,amiss,-1
119,amputate,-1
120,anarchism,-1
121,anarchist,-1
122,anarchistic,-1
123,anarchy,-1
124,anemic,-1
125,anger,-1
126,angrily,-1
127,angriness,-1
128,angry,-1
129,anguish,-1
130,animosity,-1
131,annihilate,-1
132,annihilation,-1
133,annoy,-1
134,annoyance,-1
135,annoyances,-1
136,annoyed,-1
137,annoying,-1
138,annoyingly,-1
139,annoys,-1
140,anomalous,-1
141,anomaly,-1
142,antagonism,-1
143,antagonist,-1
144,antagonistic,-1
145,antagonize,-1
146,anti-,-1
147,anti-american,-1
148,anti-israeli,-1
149,anti-occupation,-1
150,anti-proliferation,-1
151,anti-semites,-1
152,anti-social,-1
153,anti-us,-1
154,anti-white,-1
155,antipathy,-1
156,antiquated,-1
157,antithetical,-1
158,anxieties,-1
159,anxiety,-1
160,anxious,-1
161,anxiously,-1
162,anxiousness,-1
163,apathetic,-1
164,apathetically,-1
165,apathy,-1
166,apocalypse,-1
167,apocalyptic,-1
168,apologist,-1
169,apologists,-1
170,appal,-1
171,appall,-1
172,appalled,-1
173,appalling,-1
174,appallingly,-1
175,apprehension,-1
176,apprehensions,-1
177,apprehensive,-1
178,apprehensively,-1
179,arbitrary,-1
180,arcane,-1
181,archaic,-1
182,arduous,-1
183,arduously,-1
184,argumentative,-1
185,arrogance,-1
186,arrogant,-1
187,arrogantly,-1
188,ashamed,-1
189,asinine,-1
190,asininely,-1
191,asinininity,-1
192,askance,-1
193,asperse,-1
194,aspersion,-1
195,aspersions,-1
196,assail,-1
197,assassin,-1
198,assassinate,-1
199,assault,-1
200,assult,-1
201,astray,-1
202,asunder,-1
203,atrocious,-1
204,atrocities,-1
205,atrocity,-1
206,atrophy,-1
207,attack,-1
208,attacks,-1
209,audacious,-1
210,audaciously,-1
211,audaciousness,-1
212,audacity,-1
213,audiciously,-1
214,austere,-1
215,authoritarian,-1
216,autocrat,-1
217,autocratic,-1
218,avalanche,-1
219,avarice,-1
220,avaricious,-1
221,avariciously,-1
222,avenge,-1
223,averse,-1
224,aversion,-1
225,aweful,-1
226,awful,-1
227,awfully,-1
228,awfulness,-1
229,awkward,-1
230,awkwardness,-1
231,ax,-1
232,babble,-1
233,back-logged,-1
234,back-wood,-1
235,back-woods,-1
236,backache,-1
237,backaches,-1
238,backaching,-1
239,backbite,-1
240,backbiting,-1
241,backward,-1
242,backwardness,-1
243,backwood,-1
244,backwoods,-1
245,bad,-1
246,badly,-1
247,baffle,-1
248,baffled,-1
249,bafflement,-1
250,baffling,-1
251,bait,-1
252,balk,-1
253,banal,-1
254,banalize,-1
255,bane,-1
256,banish,-1
257,banishment,-1
258,bankrupt,-1
259,barbarian,-1
260,barbaric,-1
261,barbarically,-1
262,barbarity,-1
263,barbarous,-1
264,barbarously,-1
265,barren,-1
266,baseless,-1
267,bash,-1
268,bashed,-1
269,bashful,-1
270,bashing,-1
271,bastard,-1
272,bastards,-1
273,battered,-1
274,battering,-1
275,batty,-1
276,bearish,-1
277,beastly,-1
278,bedlam,-1
279,bedlamite,-1
280,befoul,-1
281,beg,-1
282,beggar,-1
283,beggarly,-1
284,begging,-1
285,beguile,-1
