word,score
 2-dimensional,-0.625
 abandon,-0.125
 absolved,0.625
 absorb,0
 abstemious,0.5
 abstruse,0.125
 accept,0.125
 accompany,0
 accost,0.125
 accrue,0
 accusation,-0.25
 acquit,0.125
 act,0
 address,0
 adhesiveness,0
 adjourn,0
 admit,0
 adopt,0
 advance,0
 advantageously,0.625
 afford,0
 agate_line,0
 agitate,-0.25
 aim,0
 air,0
 airfield,0
 airlift,0
 al-qaida,0
 alive,0.5
 alkali,0
 allow,0
 allude,0
 alternate,0
 amount,0
 anesthetize,0
 annexe,0
 answer,0
 anticipate,0
 apply,0
 apportion,0
 arrange,0.375
 arrest,-0.125
 asaph_hall,0
 ascend,0
 ascertain,-0.125
 aside,-0.5
 assembly_line,0
 assoil,0.25
 assume,0
 attain,0
 attend_to,0
 attract,0
 auction_block,0
 away,0
 baffle,-0.125
 bankrupt,0
 baseball_swing,0
 batting_order,0
 be,0
 be_sick,0
 beak,0
 bear,0
 bearing,0
 begin,-0.25
 behave,0.125
 belong,0
 bequeath,0
 bet,0
 better,0.75
 bid,0
 big,0.125
 billet,0
 billing,0
 bind,0
 biography,0
 birth,0
 bit,-0.125
 biz,0
 black_market,0
 black_prince,0
 blame,0
 blank,-0.5
 blank_out,-0.75
 blank_space,-0.125
 blastoff,0
 bleed,0
 blend_in,0
 blockade,-0.375
 blow,0
 board,0
 book,0
 book_of_job,0
 boot,0
 bowl,0
 bowling_pin,0
 brand,-0.25
 break,0
 break_down,0
 break_through,-0.125
 break_up,0
 breed,0
 bridge_player,0
 bridle,0
 bring_in,0
 bring_up,0
 brood,0
 burden,0
 burn,0
 bursting_charge,0
 business_line,0
 bye,0
 calculate,0
 call_on,0
 calorie-free,0
 cap,-0.25
 capable,-0.125
 caper,-0.125
 capital_of_mississippi,0
 capitulum,0
 capture,0.5
 caranx_crysos,0
 carry,0
 cartroad,-0.25
 case,0
 cash_in_one's_chips,0
 cast,0
 cast_off,0
 catch,0.375
 caudex,0
 cause,0
 cede,0
 celebrate,0
 centering,0
 chair,0
 change,0
 channelize,0
 cheating,0
 check_off,0
 checkmate,0
 cheek,0
 cheeseparing,0.375
 chess_opening,0
 chute,0
 circle,0
 claim,-0.375
 clarence_shepard_day_jr.,0
 clean,0.5
 clear,0.375
 close,-0.125
 cohere,0
 coiffure,0.125
 cold_shoulder,0
 collection_plate,0
 colliery,0
 coloured,0
 come,0
 come_after,0
 come_up,0
 comfortably,-0.125
 commence,0
 communicate,0
 communication_channel,0
 commute,-0.375
 compact,0
 compass_point,0
 compensate,0.5
 concentrate,0
 conclusion,0
 concur,0
 conduct,0
 consort,0
 construct,0
 contact,0
 contain,0.625
 continue,0
 contract,-0.25
 contribute,0.125
 contribution,0
 contrive,0
 correct,0.625
 correctly,0.25
 countersink,0
 course,0
 credit_line,0
 crest,0
 cross,0
 cross_out,0
 crude,-0.5
 cryptical,0.125
 cultivate,0
 curb,0
 curry,0
 curt,-0.125
 cushion,0
 cut,0
 cut_back,0
 cutting,-0.375
 dally,-0.25
 dance_step,0
 dangle,0.125
 dear,0.5
 declare,0
 declare_oneself,0
 decoct,0
 defecate,0
 defence,-0.625
 defy,-0.125
 dense,0
 denture,-0.125
 deoxidize,0
 department,0
 depend,0.25
 dependable,0.5
 deposit,0
 descend,-0.375
 descent,0
 design,0
 develop,0
 devolve,-0.25
 devote,0.125
 dilute,-0.125
 diminish,0
 diminished,0
 direct,0.25
 discharge,0
 discriminate,0
 disembowel,0
 dismantle,0
 dismiss,0
 dispatch,-0.625
 distributor_point,0
 disturb,-0.125
 divest,0
 dividing_line,0
 do,-0.5
 dog_pound,-0.125
 drag,0
 draw,0.125
 draw_out,0
 dress,0.125
 drink_down,0.375
 drip,0
 drive,0
 drop,-0.125
 drumhead,0
 ease_up,0
 easy,-0.25
 easygoing,-0.125
 eat_away,-0.25
 edward_durell_stone,0
 edwin_herbert_land,0
 effective,0
 electropositive,0.25
 elevate,0.375
 elongation,0
 elusion,0
 embossment,0
 encounter,0
 endure,0
 english,0
 ensconce,0.125
 entreat,0
 epistle_of_james,0
 equate,0
 erode,0
 escaped,-0.25
 escort,0
 establish,0
 even,-0.25
 exact,0
 examine,0
 excrete,0
 execute,0
 exit,0
 experience,0
 exploit,0.375
 extend,0
 extension,0
 externalize,0
 extract,0
 ezra_pound,0
 face,0
 face-lift,0
 faint,0
 fall,-0.375
 fall_apart,0
 farming,0
 fast,0.5
 feast,-0.125
 feed,0
 fender,0
 ferment,0
 fiddle,0.25
 firm,0.25
 fit,0.375
 fix,0
 flaccid,-0.125
 flap,0
 flat_coat,0
 flee,0
 fleet,-0.125
 flex,0
 flick,0
 flip,0
 flirt,0
 flummox,-0.125
 forcing_out,0
 forefront,0
 foreland,0
 foreshorten,0
 forget,0
 form,0
 formula,0.125
 found,0
 founder,0
 fray,-0.25
 free,0
 free_rein,0
 french_horn,0
 frivol_away,0
 fructify,0
 fuck_off,0
 fuddle,-0.5
 fulminate,-0.375
 fun,-0.5
 function,0
 funding,0
 furrow,0
 gaga,0.375
 gain,0
 gambol,0
 gaming,0
 gear,0.25
 generate,0
 gentle,-0.5
 get,-0.25
 get_around,0
 get_back,-0.875
 get_going,0
 get_to,0
 get_up,0
 gillyflower,0
 give,-0.375
 give-up_the_ghost,0
 give_birth,0
 give_way,-0.125
 go,0
 go_for,0.125
 go_steady,0
 go_through,0
 go_under,-0.125
 good,0.375
 good_turn,0.125
 gospel_according_to_mark,0
 grade,0.375
 great,0
 grievous,-0.25
 grim,-0.875
 guard,-0.25
 guesswork,-0.125
 guide,0
 gunpoint,0
 halt,0
 hammering,0
 handing_over,0
 hard,-0.375
 harlan_fiske_stone,0
 harsh,-0.75
 hatchway,0
 have,0
 head,0
 headstone,0
 heart-to-heart,0.125
 heave,0
 heighten,0
 hint,0.125
 hit,-0.125
 hold,0.625
 hold_back,0
 hold_on,0
 hold_open,0
 holy_order,0.125
 home,0
 home_run,0
 hooter,0
 hot,0
 humans,0
 hunt_down,0
 hurl,0.125
 idle,-0.375
 ignitor,0
 impart,0
 inaugurate,0
 incision,0
 incline,0
 indeed,0
 influence,0
 ingest,0
 initiative,0
 inject,0
 inner_light,0.375
 inspection,0
 install,0
 insure,0
 interpret,0
 invest,0
 iron_out,0
 irregular,-0.25
 isidor_feinstein_stone,0
 item,0
 jell,0
 job,0
 jump,0.25
 jumper_lead,0
 keep,0
 keep_open,0
 kick_the_bucket,0
 kill,0.375
 kip_down,0
 knead,0
 ko'd,-0.125
 ladder,0
 lapse,0
 lave,0
 lay_down,0
 lay_out,0
 lbf.,0
 lead,0
 lean,0.375
 lenient,0.25
 let_off,0
 levy,0
 liberty_chit,0
 lifelike,0.25
 lift,0.375
 lift_up,0.5
 light,-0.25
 light_upon,0
 lighten,0
 livestock,0
 livid,-0.125
 load_down,0
 localize,0
 look,0
 look_at,0
 looseness,0
 lose,-0.25
 lose_it,0.125
 luxate,0
 magnetic_pole,0
 mail,0
 mail_service,0
 make,0.125
 make_a_motion,0
 make_for,0
 make_it,0
 make_pass,0
 malcolm_stock,0
 man,0
 map,0
 mass_medium,0
 mathematical_process,0
 meet,0
 melt_down,0
 melt_off,0
 metalworker,0
